GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo,package.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo,package.AccumuloProperties.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo,package.AccumuloProperties.TableProperties.,30,0,0,0,5,0,4,0,4,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo,package.AccumuloProperties.AccumuloMapperProperties.,30,0,0,0,4,0,4,0,4,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo,package.AccumuloProperties.StatsProperties.,18,0,0,0,3,0,3,0,3,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo,package.AccumuloProperties.BatchWriterProperties.,49,0,0,0,6,0,6,0,6,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo,package.AccumuloProperties.RemoteProcessingProperties.,52,0,0,0,6,0,6,0,6,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer,AccumuloIndexWriter,434,0,16,0,46,0,35,0,27,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer,package.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer,ColumnFamilyMapper.FaMapper.,176,0,4,0,8,0,41,0,39,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer,ColumnFamilyMapper.IdSftMapper.,34,0,0,0,1,0,9,0,9,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer,ColumnFamilyMapper.EmptyMapper.,34,0,0,0,1,0,9,0,9,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer,ColumnFamilyMapper.IdentityMapper.,144,0,0,0,2,0,37,0,37,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer,package.VisibilityCache,58,0,4,0,11,0,6,0,4,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer,ColumnFamilyMapper.JoinMapper.,34,0,0,0,1,0,9,0,9,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer,ColumnFamilyMapper.,210,0,74,0,19,0,40,0,3,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer,ColumnFamilyMapper.FixedMapper,123,0,0,0,3,0,30,0,30,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer,package.VisHolder,30,0,2,0,6,0,5,0,4,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,package.MutationBuilder.UpdateBuilder,205,0,26,0,8,0,37,0,23,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,package.MutationBuilder.DeleteBuilder,163,0,19,0,8,0,29,0,19,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,ConditionalWriteException.ConditionalWriteStatus,159,0,30,0,2,0,32,0,16,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,ConditionalWriteException.,35,0,0,0,4,0,4,0,4,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,package.MutationBuilder.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,package.MutationBuilder.AppendBuilder.,33,0,2,0,1,0,7,0,6,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,package.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,package.MutationBuilder.DeleteBuilder.,33,0,2,0,1,0,7,0,6,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,package.MutationValue.,39,0,2,0,1,0,7,0,6,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,package.MutationBuilder.UpdateBuilder.,36,0,2,0,1,0,7,0,6,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,ConditionalWriteException,21,0,0,0,4,0,4,0,4,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,package.MutationValue,202,0,31,0,6,0,36,0,19,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,AccumuloAtomicIndexWriter,804,0,56,0,86,0,70,0,42,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,package.MutationBuilder.AppendBuilder,159,0,19,0,8,0,29,0,19,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.writer.tx,ConditionalWriteException.ConditionalWriteStatus.,64,0,4,0,5,0,8,0,6,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.stats,StatRunner.,10,0,0,0,1,0,3,0,3,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.stats,AccumuloGeoMesaStats.,54,0,0,0,6,0,4,0,4,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.stats,AccumuloGeoMesaStats.AccumuloMetadataStatWriter,40,0,2,0,5,0,4,0,3,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.stats,StatsRunner,222,0,14,0,24,0,26,0,19,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.stats,AccumuloGeoMesaStats,326,0,4,0,28,0,26,0,24,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.stats,StatRunner,269,0,16,0,26,0,23,0,15,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.stats,AccumuloGeoMesaStats.AccumuloStatUpdater,13,0,0,0,3,0,2,0,2,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data.stats,AccumuloGeoMesaStats..anon.new Runnable() {...},63,0,8,0,7,0,6,0,2,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,AccumuloQueryEventTransform.,774,0,74,0,55,0,59,0,22,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,AccumuloEventTransform,84,0,2,0,7,0,9,0,8,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,ParamsAuditProvider,48,0,0,0,5,0,8,0,8,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,AccumuloEventTransform.RowGrouper,486,0,14,0,16,0,106,0,99,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,AccumuloEventTransform.,154,0,6,0,10,0,11,0,8,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,AccumuloAuditWriter,688,0,44,0,75,0,52,0,30,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,AccumuloAuditReader.,10,0,0,0,2,0,3,0,3,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,package,3,0,0,0,0,0,1,0,1,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,AccumuloQueryEventTransform,14,0,0,0,0,0,3,0,3,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,AccumuloAuditReader,115,0,6,0,19,0,13,0,10,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,package.,14,0,0,0,3,0,3,0,3,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.audit,AccumuloAuditWriter.,41,0,0,0,5,0,5,0,5,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloQueryPlan.,271,0,12,0,16,0,27,0,21,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloDataStoreFactory.RemoteScansEnabled,177,0,29,0,1,0,34,0,18,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloJoinIndexAdapter,13,0,0,0,0,0,1,0,1,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloDataStoreFactory,111,0,0,0,14,0,18,0,18,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloQueryPlan.AccumuloScanner,18,0,0,0,3,0,3,0,3,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloIndexAdapter.AccumuloResultsToFeatures.,37,0,4,0,8,0,6,0,4,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloQueryPlan,13,0,0,0,3,0,4,0,4,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloClientConfig,9,0,0,0,0,0,3,0,3,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloQueryPlan.EmptyPlan,156,0,23,0,11,0,39,0,27,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloDataStoreFactory.AccumuloQueryConfig,235,0,39,0,8,0,44,0,22,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloQueryPlan.ScanHelper.,73,0,2,0,5,0,9,0,8,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloIndexAdapter..anon.new IndexAdapter.RequiredVisibilityWriter() {...},29,0,0,0,1,0,5,0,5,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloIndexAdapter..anon.new IndexAdapter.RequiredVisibilityWriter() {...},30,0,0,0,1,0,5,0,5,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloIndexAdapter..anon.new CacheLoader() {...},46,0,2,0,2,0,8,0,7,0
GeoMesa Accumulo DataStore,org.locationtech.geomesa.accumulo.data,AccumuloIndexAdapter.,96,0,8,0,11,0,8,0,4,0
