GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce.interop,FeatureCountJob.MyMapper,23,0,0,0,6,0,2,0,2,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce.interop,FeatureWriterJob.MyMapper,55,0,0,0,11,0,2,0,2,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce.interop,GeoMesaAccumuloInputFormat,25,0,0,0,7,0,4,0,4,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce.interop,FeatureWriterJob.MyMapper.CountersEnum,9,0,0,0,1,0,1,0,1,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce.interop,FeatureCountJob,84,0,2,0,20,0,3,0,2,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce.interop,FeatureCountJob.MyMapper.CountersEnum,9,0,0,0,1,0,1,0,1,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce.interop,FeatureWriterJob,125,0,2,0,30,0,3,0,2,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,package.TableAndKey,85,0,2,0,20,0,14,0,13,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,package.TableRangePartitioner.,157,0,0,0,16,0,13,0,13,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,GeoMesaAccumuloInputFormat,346,0,22,0,27,0,34,0,23,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,package.TableRangePartitioner,86,0,4,0,9,0,9,0,7,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,GeoMesaAccumuloFileOutputFormat.AccumuloFileReducer,72,0,4,0,10,0,10,0,8,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,GeoMesaAccumuloInputFormat.GroupedSplit,163,0,6,0,20,0,18,0,15,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,GeoMesaAccumuloFileOutputFormat.AccumuloFileMapper,520,0,22,0,47,0,49,0,38,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,package.Configurator.,55,0,0,0,8,0,9,0,9,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,package.TableRangePartitioner..anon.new CacheLoader() {...},145,0,4,0,10,0,14,0,12,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,GeoMesaAccumuloFileOutputFormat,16,0,0,0,0,0,3,0,3,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,GeoMesaAccumuloFileOutputFormat.,362,0,16,0,38,0,26,0,18,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,GeoMesaAccumuloInputFormat.,507,0,30,0,42,0,43,0,28,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,GeoMesaAccumuloInputFormat.GeoMesaRecordReader,72,0,2,0,14,0,11,0,10,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.mapreduce,package.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.index,AttributeIndexJob.AttributeIndexArgs,175,0,6,0,10,0,25,0,22,0
GeoMesa Accumulo Jobs,org.locationtech.geomesa.accumulo.jobs.index,SchemaCopyJob.SchemaCopyArgs,155,0,0,0,6,0,32,0,32,0
