GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloBulkIngestCommand.AccumuloBulkIngestParams,275,0,4,0,2,0,61,0,59,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloIngestCommand.AccumuloIngestParams,233,0,4,0,2,0,52,0,50,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloBulkCopyCommand,275,0,10,0,16,0,21,0,16,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloBulkIngestCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloDeleteFeaturesCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloDeleteFeaturesCommand.AccumuloDeleteFeaturesParams,109,0,0,0,1,0,25,0,25,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloDeleteFeaturesCommand,48,0,0,0,2,0,11,0,11,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloUpdateFeaturesCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloBulkCopyCommand.AccumuloBulkCopyParams,182,0,0,0,23,0,47,0,47,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloIngestCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloBulkCopyCommand.,39,0,4,0,1,0,6,0,4,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloUpdateFeaturesCommand,48,0,0,0,2,0,11,0,11,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloIngestCommand,125,0,6,0,8,0,24,0,21,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloBulkIngestCommand,447,0,32,0,40,0,44,0,28,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloUpdateFeaturesCommand.AccumuloUpdateFeaturesParams,125,0,0,0,1,0,29,0,29,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.ingest,AccumuloBulkIngestCommand.BulkConverterIngest,306,0,26,0,48,0,23,0,10,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.status,AccumuloDescribeSchemaCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.status,AccumuloDescribeSchemaCommand,58,0,0,0,2,0,13,0,13,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.status,AccumuloGetSftConfigCommand,56,0,0,0,2,0,13,0,13,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.status,AccumuloGetTypeNamesCommand,48,0,0,0,2,0,11,0,11,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.status,AccumuloDescribeSchemaCommand.DescribeParameters,91,0,0,0,1,0,21,0,21,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.status,AccumuloVersionRemoteCommand,48,0,0,0,2,0,11,0,11,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.status,AccumuloVersionRemoteCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Accumulo Tools,org.locationtech.geomesa.accumulo.tools.status,AccumuloGetTypeNamesCommand.,8,0,0,0,2,0,2,0,2,0
