GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.io.records,RecordBatchLoader,80,0,0,0,8,0,9,0,9,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.io.records,RecordBatchLoader.,25,0,0,0,4,0,4,0,4,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.io.records,RecordBatchUnloader,82,0,0,0,13,0,6,0,6,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.vector,ArrowAttributeReader,17,0,0,0,2,0,5,0,5,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.vector,ArrowAttributeWriter.ArrowDateMillisWriter,41,0,2,0,6,0,6,0,5,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.vector,SimpleFeatureVector.SimpleFeatureEncoding,192,0,35,0,1,0,37,0,18,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.vector,ArrowAttributeReader.ArrowDateReader.,55,0,12,0,5,0,9,0,3,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.vector,ArrowAttributeWriter.,2432,0,598,0,83,0,313,0,14,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.vector,ArrowDictionary.ArrowDictionaryArray..anon.new Closeable() {...},25,0,0,0,4,0,2,0,2,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.vector,ArrowAttributeWriter.ArrowDateSecondsWriter,44,0,2,0,6,0,6,0,5,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.vector,ArrowAttributeReader.ArrowListDictionaryShortReader,150,0,8,0,22,0,11,0,7,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.vector,package.FromList,133,0,22,0,6,0,26,0,15,0
GeoMesa Arrow GeoTools Abstractions,org.locationtech.geomesa.arrow.vector,ArrowAttributeReader.ArrowLineStringReader,44,0,0,0,6,0,7,0,7,0
