GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,MultiPolygonFloatVector,10,26,0,0,4,7,2,5,2,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,PointVector,10,24,0,0,4,7,2,5,2,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,MultiLineStringVector,10,24,0,0,4,7,2,5,2,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,MultiPointFloatVector,10,26,0,0,4,7,2,5,2,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,MultiPolygonVector,10,24,0,0,4,7,2,5,2,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,LineStringFloatVector,6,30,0,0,2,9,1,6,1,6
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,PolygonFloatVector,10,26,0,0,4,7,2,5,2,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,GeometryVector,0,5,0,0,0,1,0,1,0,1
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,PointFloatVector,10,26,0,0,4,7,2,5,2,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,MultiPointVector,10,24,0,0,4,7,2,5,2,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,GeometryFields,192,89,44,0,42,18,24,1,2,1
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,WKBGeometryVector,49,117,0,8,11,32,4,15,4,11
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,MultiLineStringFloatVector,10,26,0,0,4,7,2,5,2,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,LineStringVector,10,24,0,0,4,7,2,5,2,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts,PolygonVector,10,24,0,0,4,7,2,5,2,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts.impl,AbstractPolygonVector,50,320,3,21,6,50,4,14,1,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts.impl,AbstractLineStringVector,86,209,2,14,10,35,7,11,5,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts.impl,AbstractPointVector,87,153,5,9,11,29,8,8,3,6
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts.impl,AbstractMultiLineStringVector,50,294,3,17,6,46,4,12,1,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts.impl,AbstractGeometryVector,4,50,0,0,2,18,1,10,1,10
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts.impl,AbstractMultiPointVector,50,210,3,13,6,35,4,10,1,5
GeoMesa Arrow JTS Geometry Vectors,org.locationtech.geomesa.arrow.jts.impl,AbstractMultiPolygonVector,50,405,3,25,6,61,4,16,1,5
