GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.utils,CassandraBatchScan.CassandraScanner,14,0,0,0,3,0,3,0,3,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.utils,CassandraBatchScan,27,0,0,0,3,0,3,0,3,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.utils,CassandraBatchScan..anon.new Row() {...},22,0,0,0,10,0,10,0,10,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.utils,CassandraBatchScan.,60,0,4,0,7,0,6,0,4,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,CassandraColumnMapper.,241,0,44,0,16,0,32,0,10,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,AttributeColumnMapper.,26,0,0,0,5,0,4,0,4,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,SharedAttributeColumnMapper.,635,0,24,0,51,0,26,0,14,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,IdColumnMapper..anon.new CacheLoader() {...},37,0,0,0,2,0,7,0,7,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,IdColumnMapper,353,0,18,0,17,0,21,0,12,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,CassandraColumnMapper,110,0,0,0,7,0,13,0,13,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,AttributeColumnMapper..anon.new CacheLoader() {...},57,0,0,0,4,0,9,0,9,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,Z3ColumnMapper.,26,0,0,0,5,0,4,0,4,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,IdColumnMapper.,26,0,0,0,5,0,4,0,4,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,SharedAttributeColumnMapper,26,0,0,0,0,0,6,0,6,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,Z3ColumnMapper..anon.new CacheLoader() {...},57,0,0,0,4,0,9,0,9,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,AttributeColumnMapper,540,0,30,0,32,0,30,0,15,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,Z2ColumnMapper..anon.new CacheLoader() {...},57,0,0,0,4,0,9,0,9,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,Z2ColumnMapper.,26,0,0,0,5,0,4,0,4,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,Z2ColumnMapper,392,0,24,0,25,0,26,0,14,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,Z3ColumnMapper,574,0,28,0,40,0,29,0,15,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.index,CassandraColumnMapper..anonfun.new Serializable() {...},48,0,12,0,1,0,9,0,3,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.data,CassandraDataStoreFactory.,145,0,0,0,27,0,7,0,7,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.data,CassandraDataStoreFactory,444,0,18,0,52,0,27,0,18,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.data,CassandraDataStoreFactory.CassandraDataStoreConfig.,49,0,2,0,1,0,7,0,6,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.data,CassandraDataStoreFactory.CassandraDataStoreConfig,291,0,56,0,9,0,55,0,24,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.data,CassandraQueryPlan.EmptyPlan.,37,0,2,0,1,0,9,0,8,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.data,CassandraBackedMetadata,520,0,22,0,30,0,58,0,47,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.data,CassandraQueryPlan.EmptyPlan,180,0,23,0,9,0,37,0,25,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.data,CassandraQueryPlan.StatementPlan,461,0,61,0,18,0,79,0,45,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.data,CassandraIndexAdapter.CassandraResultsToFeatures,79,0,0,0,12,0,6,0,6,0
GeoMesa Cassandra DataStore,org.locationtech.geomesa.cassandra.data,CassandraIndexAdapter..anon.new IndexAdapter.RequiredVisibilityWriter() {...},29,0,0,0,1,0,5,0,5,0
