GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverterFactory.,465,0,42,0,35,0,34,0,13,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroPath.PathExpr.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverterFactory..anonfun.new Serializable() {...},30,0,4,0,1,0,5,0,3,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverterFactory.AvroConfigConvert.,257,0,26,0,16,0,23,0,10,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroPath.UnionTypeFilter,214,0,22,0,2,0,50,0,39,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroPath.ArrayRecordExpr.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.GenericRecordBytesIterator,470,0,2,0,12,0,101,0,100,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroPath.CompositeExpr.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.FileStreamBytesIterator,499,0,0,0,18,0,103,0,103,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter,293,0,20,0,22,0,23,0,13,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.FileStreamIterator,434,0,0,0,9,0,99,0,99,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroPath.PathExpr,164,0,31,0,7,0,31,0,15,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.SchemaFile.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroPath.ArrayRecordExpr,193,0,39,0,7,0,38,0,18,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.SchemaEmbedded.,41,0,0,0,2,0,11,0,11,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverterFactory,671,0,60,0,56,0,55,0,25,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroFunctionFactory.AvroPathFn,93,0,8,0,6,0,7,0,3,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.SchemaFile,90,0,16,0,1,0,20,0,12,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverterFactory.AvroConfigConvert..anon.new FailureReason() {...},9,0,0,0,2,0,2,0,2,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.GenericRecordIterator,449,0,2,0,10,0,101,0,100,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.AvroConfig,225,0,51,0,8,0,50,0,22,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroPath.AvroPathParser,182,0,2,0,12,0,22,0,21,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroPath,310,0,0,0,0,0,74,0,74,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroPath.UnionTypeFilter.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.SchemaString.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.,128,0,4,0,16,0,9,0,7,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.SchemaString,90,0,16,0,1,0,20,0,12,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroConverter.AvroConfig.,45,0,2,0,1,0,7,0,6,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroFunctionFactory,467,0,40,0,54,0,39,0,19,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroPath.,219,0,20,0,34,0,21,0,11,0
GeoMesa Convert Avro,org.locationtech.geomesa.convert.avro,AvroPath.CompositeExpr,120,0,18,0,4,0,24,0,15,0
