GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastToDouble.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,DateFunctionFactory.,8,0,0,0,2,0,2,0,2,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,DateFunctionFactory,358,0,10,0,31,0,27,0,22,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralString,124,0,16,0,2,0,25,0,17,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastToLong,181,0,28,0,10,0,28,0,14,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralInt.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.FieldLookup,220,0,29,0,11,0,35,0,20,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,MiscFunctionFactory.LineNumber,28,0,0,0,3,0,3,0,3,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.Not.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralFloat.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastExpression,39,0,0,0,4,0,4,0,4,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,CollectionFunctionFactory.TransformList,131,0,8,0,10,0,9,0,5,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,PredicateParser,873,0,60,0,49,0,88,0,58,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,MathFunctionFactory,1200,0,68,0,103,0,101,0,67,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,CqlFunctionFactory.ArrayPropertyAccessor,46,0,6,0,8,0,8,0,5,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryLessThanOrEquals.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.Column.,28,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,ScriptingFunctionFactory.ScriptTransformerFn,34,0,0,0,3,0,2,0,2,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastToString.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,ExpressionVisitor.ExpressionTreeVisitor,119,0,0,0,14,0,16,0,16,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastToBoolean,169,0,26,0,9,0,27,0,14,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryGreaterThanOrEquals.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,PredicateParser.Comparisons.,50,0,0,0,2,0,8,0,8,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,ExpressionParser.,97,0,6,0,10,0,11,0,8,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.WithDefaultExpression.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,CollectionFunctionFactory,557,0,36,0,42,0,38,0,20,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,TransformerFunction,8,0,0,0,3,0,4,0,4,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,DateFunctionFactory.DateToString,73,0,4,0,6,0,5,0,3,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.TryExpression.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastToBoolean.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastToDouble,181,0,28,0,10,0,28,0,14,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.TryExpression,294,0,37,0,17,0,45,0,26,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryNotEquals.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,IdFunctionFactory,517,0,22,0,43,0,30,0,19,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastToInt.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,ScriptingFunctionFactory,281,0,18,0,18,0,29,0,20,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,EncodingFunctionFactory,190,0,12,0,15,0,17,0,11,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.And,163,0,27,0,3,0,33,0,19,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,DateFunctionFactory.CustomFormatDateParser,93,0,8,0,9,0,7,0,3,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastToFloat,181,0,28,0,10,0,28,0,14,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,TransformerFunction..anon.new TransformerFunction.NamedTransformerFunction() {...},14,0,0,0,3,0,2,0,2,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.RegexExpression,127,0,16,0,7,0,26,0,18,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,TransformerFunction..anon.new TransformerFunction.NamedTransformerFunction() {...},13,0,0,0,3,0,2,0,2,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,CqlFunctionFactory.,23,0,0,0,4,0,4,0,4,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.,14,0,0,0,3,0,3,0,3,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,CqlFunctionFactory.CqlTransformerFunction,85,0,4,0,9,0,8,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryEquals.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.RegexExpression.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,CqlFunctionFactory.ArrayPropertyAccessorFactory,15,0,2,0,2,0,4,0,3,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralDouble,105,0,12,0,1,0,23,0,17,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,MiscFunctionFactory.,21,0,2,0,5,0,4,0,3,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralAny.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,CastFunctionFactory,561,0,54,0,38,0,39,0,12,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryLessThan,147,0,25,0,3,0,29,0,16,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralNull.,62,0,0,0,1,0,16,0,16,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralBoolean,113,0,16,0,1,0,25,0,17,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastToLong.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,CqlFunctionFactory,196,0,16,0,13,0,19,0,11,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryLessThanOrEquals,147,0,25,0,3,0,29,0,16,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralString.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,IdFunctionFactory..anon.new TransformerFunction.NamedTransformerFunction() {...},66,0,4,0,7,0,5,0,3,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,IdFunctionFactory..anon.new TransformerFunction.NamedTransformerFunction() {...},56,0,4,0,6,0,4,0,2,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression,8,0,0,0,2,0,3,0,3,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.Literal,18,0,0,0,6,0,6,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,GeometryFunctionFactory,1956,0,340,0,74,0,194,0,24,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,ExpressionParser,1077,0,16,0,75,0,114,0,106,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralDouble.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,EnrichmentCacheFunctionFactory,20,0,0,0,3,0,3,0,3,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryEquals,145,0,25,0,3,0,29,0,16,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,DateFunctionFactory..anon.new DateFunctionFactory.StandardDateParser() {...},45,0,0,0,13,0,2,0,2,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,PredicateParser.,97,0,6,0,9,0,11,0,8,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralLong.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,EnrichmentCacheFunctionFactory.CacheLookup,50,0,0,0,4,0,3,0,3,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryGreaterThan,147,0,25,0,3,0,29,0,16,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,CollectionFunctionFactory.,8,0,0,0,2,0,2,0,2,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastToInt,181,0,28,0,10,0,28,0,14,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,ScriptingFunctionFactory.,307,0,18,0,25,0,27,0,18,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryNotEquals,145,0,25,0,3,0,29,0,16,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.FieldLookup.,37,0,2,0,1,0,9,0,8,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.CastToString,144,0,24,0,8,0,26,0,14,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.,44,0,4,0,10,0,6,0,4,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryGreaterThan.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralAny,105,0,12,0,1,0,23,0,17,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralInt,113,0,16,0,1,0,25,0,17,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,TransformerFunction.NamedTransformerFunction,23,0,0,0,3,0,5,0,5,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.Column,116,0,12,0,6,0,23,0,17,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.And.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryGreaterThanOrEquals,147,0,25,0,3,0,29,0,16,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,StringFunctionFactory,990,0,72,0,111,0,77,0,41,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralLong,113,0,16,0,1,0,25,0,17,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Predicate.BinaryLessThan.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,TransformerFunction.,95,0,4,0,9,0,13,0,11,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralBoolean.,27,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.FunctionExpression.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,CollectionFunctionFactory.CollectionParsing,140,0,32,0,15,0,19,0,3,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,GeometryFunctionFactory..anon.new TransformerFunction.NamedTransformerFunction() {...},78,0,4,0,9,0,6,0,4,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.LiteralFloat,105,0,12,0,1,0,23,0,17,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,Expression.FunctionExpression,340,0,37,0,26,0,46,0,27,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,DateFunctionFactory..anon.new DateFunctionFactory.StandardDateParser() {...},21,0,0,0,2,0,2,0,2,0
GeoMesa Convert Common,org.locationtech.geomesa.convert2.transforms,DateFunctionFactory..anon.new DateFunctionFactory.StandardDateParser() {...},51,0,0,0,13,0,2,0,2,0
