GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Convert Fixed Width,org.locationtech.geomesa.convert.fixedwidth,FixedWidthConverterFactory,19,0,0,0,2,0,1,0,1,0
GeoMesa Convert Fixed Width,org.locationtech.geomesa.convert.fixedwidth,FixedWidthConverter.OffsetField,211,0,29,0,5,0,38,0,22,0
GeoMesa Convert Fixed Width,org.locationtech.geomesa.convert.fixedwidth,FixedWidthConverter.,8,0,0,0,2,0,2,0,2,0
GeoMesa Convert Fixed Width,org.locationtech.geomesa.convert.fixedwidth,FixedWidthConverter..anon.new CloseableIterator() {...},418,0,0,0,7,0,97,0,97,0
GeoMesa Convert Fixed Width,org.locationtech.geomesa.convert.fixedwidth,FixedWidthConverter.DerivedField,123,0,23,0,2,0,27,0,15,0
GeoMesa Convert Fixed Width,org.locationtech.geomesa.convert.fixedwidth,FixedWidthConverter.OffsetField.,41,0,2,0,1,0,7,0,6,0
GeoMesa Convert Fixed Width,org.locationtech.geomesa.convert.fixedwidth,FixedWidthConverter.DerivedField.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert Fixed Width,org.locationtech.geomesa.convert.fixedwidth,FixedWidthConverterFactory.FixedWidthFieldConvert.,115,0,6,0,10,0,12,0,9,0
GeoMesa Convert Fixed Width,org.locationtech.geomesa.convert.fixedwidth,FixedWidthConverter,32,0,0,0,7,0,4,0,4,0
GeoMesa Convert Fixed Width,org.locationtech.geomesa.convert.fixedwidth,FixedWidthConverterFactory.,8,0,0,0,2,0,2,0,2,0
