GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Convert JDBC,org.locationtech.geomesa.convert.jdbc,JdbcConverter.ResultSetIterator,539,0,10,0,25,0,107,0,102,0
GeoMesa Convert JDBC,org.locationtech.geomesa.convert.jdbc,JdbcConverterFactory.,8,0,0,0,2,0,2,0,2,0
GeoMesa Convert JDBC,org.locationtech.geomesa.convert.jdbc,JdbcConverter.StatementIterator,501,0,12,0,20,0,107,0,101,0
GeoMesa Convert JDBC,org.locationtech.geomesa.convert.jdbc,JdbcConverter.,8,0,0,0,2,0,2,0,2,0
GeoMesa Convert JDBC,org.locationtech.geomesa.convert.jdbc,JdbcConverter.JdbcConfig.,45,0,2,0,1,0,7,0,6,0
GeoMesa Convert JDBC,org.locationtech.geomesa.convert.jdbc,JdbcConverterFactory,19,0,0,0,2,0,1,0,1,0
GeoMesa Convert JDBC,org.locationtech.geomesa.convert.jdbc,JdbcConverter,44,0,0,0,7,0,5,0,5,0
GeoMesa Convert JDBC,org.locationtech.geomesa.convert.jdbc,JdbcConverter.LineIteratorIsCloseable.,16,0,0,0,2,0,4,0,4,0
GeoMesa Convert JDBC,org.locationtech.geomesa.convert.jdbc,JdbcConverter.JdbcConfig,225,0,51,0,8,0,50,0,22,0
GeoMesa Convert JDBC,org.locationtech.geomesa.convert.jdbc,JdbcConverterFactory.JdbcConfigConvert.,55,0,0,0,5,0,7,0,7,0
