GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,GeoJsonParsing,821,0,68,0,76,0,66,0,32,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonConverter.ArrayJsonField,196,0,35,0,3,0,38,0,19,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonConverter.FloatJsonField.,40,0,2,0,1,0,7,0,6,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,GeoJsonParsing.GeoJsonFeature.,36,0,2,0,1,0,7,0,6,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonConverterFactory.,26,0,0,0,5,0,5,0,5,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonConverter.StringJsonField,196,0,35,0,3,0,38,0,19,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonConverterFactory.JsonFieldConvert.,510,0,68,0,33,0,44,0,10,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonConverter.JsonConfig,225,0,51,0,8,0,50,0,22,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonConverter.GeometryJsonField,197,0,35,0,3,0,38,0,19,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonConverterFactory.JsonConfigConvert.,61,0,0,0,5,0,8,0,8,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonFunctionFactory..anon.new TransformerFunction.NamedTransformerFunction() {...},46,0,4,0,4,0,5,0,3,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonCompositeConverterFactory.,14,0,0,0,3,0,3,0,3,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonConverter.IntJsonField.,40,0,2,0,1,0,7,0,6,0
GeoMesa Convert Json,org.locationtech.geomesa.convert.json,JsonConverter.GeometryJsonField.,40,0,2,0,1,0,7,0,6,0
