GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetPointFn,26,0,0,0,3,0,3,0,3,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetMultiPointFn.,5,0,0,0,1,0,2,0,2,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,AvroReadSupport,50,0,0,0,6,0,8,0,8,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,AvroReadSupport.GeneralPrimitiveConverter,87,0,4,0,18,0,15,0,13,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,AvroReadSupport.RepeatedPrimitiveConverter,84,0,2,0,15,0,13,0,12,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetMultiLineStringFn.,5,0,0,0,1,0,2,0,2,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetConverterFactory.,1110,0,132,0,70,0,117,0,51,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,AvroReadSupport.,233,0,30,0,29,0,24,0,9,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,AvroReadSupport.AvroRecordMaterializer,20,0,0,0,5,0,4,0,4,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetGeometryFn,130,0,18,0,10,0,11,0,2,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetLineStringFn,26,0,0,0,4,0,3,0,3,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,AvroReadSupport.NanosConverter,47,0,2,0,7,0,9,0,8,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetConverterFactory,409,0,14,0,31,0,21,0,14,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetPointFn.,5,0,0,0,1,0,2,0,2,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory,307,0,32,0,25,0,34,0,18,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetConverter,80,0,0,0,9,0,7,0,7,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetMultiPolygonFn.,5,0,0,0,1,0,2,0,2,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetConverter.ParquetIterator,453,0,6,0,13,0,102,0,99,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetMultiLineStringFn,58,0,0,0,5,0,5,0,5,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,AvroReadSupport.NullPrimitiveConverter.,44,0,0,0,9,0,18,0,18,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetLineStringFn.,5,0,0,0,1,0,2,0,2,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,AvroReadSupport.DaysConverter,48,0,2,0,7,0,9,0,8,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetPolygonFn,87,0,2,0,7,0,6,0,5,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetPolygonFn.,5,0,0,0,1,0,2,0,2,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetMultiPolygonFn,133,0,2,0,9,0,8,0,7,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetFunctionFactory.ParquetMultiPointFn,26,0,0,0,4,0,3,0,3,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,ParquetConverter.,19,0,0,0,4,0,4,0,4,0
GeoMesa Convert Parquet,org.locationtech.geomesa.convert.parquet,AvroReadSupport.GenericGroupConverter,215,0,6,0,20,0,20,0,17,0
