GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlCompositeConverterFactory,219,0,16,0,19,0,16,0,8,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter..anon.new ThreadLocal() {...},30,0,2,0,2,0,3,0,2,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.DocParser..anon.new ErrorHandler() {...},23,0,2,0,4,0,5,0,4,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter..anon.new NamespaceContext() {...},19,0,0,0,5,0,5,0,5,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.,212,0,16,0,24,0,19,0,11,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.XmlPathField..anon.new ThreadLocal() {...},21,0,2,0,2,0,3,0,2,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.DerivedField.,33,0,2,0,1,0,7,0,6,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlCompositeConverterFactory.,14,0,0,0,3,0,3,0,3,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverterFactory.XmlConfigConvert.,178,0,0,0,13,0,18,0,18,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverterFactory.XmlFieldConvert.,82,0,6,0,8,0,9,0,6,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlFunctionFactory..anon.new TransformerFunction.NamedTransformerFunction() {...},138,0,6,0,9,0,10,0,7,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlFunctionFactory..anon.new TransformerFunction.NamedTransformerFunction() {...},78,0,2,0,14,0,5,0,4,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.DocParser,84,0,0,0,15,0,8,0,8,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.XmlPathField,187,0,30,0,6,0,39,0,23,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.XmlPathField.,36,0,2,0,1,0,7,0,6,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.XmlConfig,306,0,72,0,11,0,68,0,28,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlFunctionFactory,65,0,4,0,6,0,8,0,6,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.XmlConfig.,54,0,2,0,1,0,7,0,6,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverterFactory,590,0,28,0,55,0,39,0,25,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverterFactory.,292,0,28,0,31,0,30,0,16,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.XmlHelper,35,0,0,0,5,0,5,0,5,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverterFactory.XmlOptionsConvert.,128,0,4,0,11,0,13,0,11,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.DerivedField,124,0,23,0,3,0,28,0,16,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlCompositeConverter,37,0,0,0,7,0,3,0,3,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.XmlOptions.,42,0,2,0,1,0,7,0,6,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverterFactory.XmlNamer,134,0,10,0,12,0,12,0,7,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter,149,0,4,0,18,0,15,0,13,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlConverter.XmlOptions,198,0,44,0,7,0,44,0,20,0
GeoMesa Convert XML,org.locationtech.geomesa.convert.xml,XmlCompositeConverter..anon.new ThreadLocal() {...},17,0,2,0,2,0,3,0,2,0
