GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.WkbLogicalType.,36,0,6,0,5,0,8,0,5,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,SimpleFeatureDatumWriter,123,0,6,0,18,0,14,0,11,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,SimpleFeatureDatumReader.VersionedFields,135,0,26,0,4,0,30,0,16,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.MapNativeField,187,0,12,0,30,0,18,0,12,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.MapOpaqueField,203,0,22,0,20,0,23,0,12,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.UserDataFieldV4.,64,0,2,0,6,0,16,0,15,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.BooleanField.,76,0,0,0,5,0,18,0,18,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,CollectionSerialization.,1065,0,90,0,113,0,103,0,58,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.UuidRecordField.,103,0,2,0,11,0,19,0,18,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.IntField.,76,0,0,0,5,0,18,0,18,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.DateField.,82,0,0,0,6,0,18,0,18,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.,280,0,72,0,21,0,43,0,7,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,SimpleFeatureDatumReader.,20,0,0,0,6,0,3,0,3,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroUserDataSerialization.,478,0,45,0,42,0,50,0,24,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.GeomField,89,0,4,0,10,0,6,0,4,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,CollectionSerialization,19,0,0,0,0,0,4,0,4,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField,46,0,6,0,14,0,9,0,6,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,SimpleFeatureDatumWriter.,12,0,0,0,1,0,3,0,3,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.UserDataField.,64,0,2,0,6,0,16,0,15,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroSerialization.,346,0,26,0,29,0,34,0,21,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroUserDataSerializationV4,12,0,0,0,0,0,3,0,3,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.StandardField,28,0,0,0,4,0,6,0,6,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.MapNativeRecordField,203,0,10,0,34,0,18,0,13,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.ListLogicalType.,36,0,6,0,5,0,8,0,5,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.FloatField.,76,0,0,0,5,0,18,0,18,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,SimpleFeatureDatumReader.VersionedFields.,36,0,2,0,1,0,7,0,6,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.GeometryField.,91,0,2,0,6,0,20,0,19,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.StringField.,157,0,4,0,12,0,21,0,19,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroSerialization,242,0,40,0,6,0,46,0,24,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroUserDataSerializationV4.,744,0,98,0,91,0,70,0,21,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.MapLogicalType.,36,0,6,0,5,0,8,0,5,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.UuidBinaryField.,154,0,4,0,13,0,22,0,20,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.ListNativeField,157,0,10,0,26,0,17,0,12,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.VersionField.,55,0,0,0,5,0,14,0,14,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.WktLogicalType.,49,0,12,0,5,0,11,0,5,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.FidField.,55,0,0,0,5,0,14,0,14,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.ListOpaqueField,148,0,10,0,13,0,16,0,11,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroUserDataSerialization,14,0,0,0,0,0,3,0,3,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,SimpleFeatureDatumReader,349,0,34,0,35,0,40,0,23,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.UserDataSchema.,74,0,0,0,9,0,5,0,5,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.LongField.,76,0,0,0,5,0,18,0,18,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.GeometryFieldV1.,99,0,2,0,6,0,20,0,19,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.BytesField.,143,0,2,0,10,0,20,0,19,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.serialization,AvroField.DoubleField.,76,0,0,0,5,0,18,0,18,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.io,AvroDataFileWriter.,14,0,0,0,3,0,4,0,4,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.io,AvroDataFile,79,0,8,0,15,0,8,0,4,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.io,AvroDataFileReader,462,0,2,0,12,0,101,0,100,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.io,AvroDataFileWriter,107,0,6,0,13,0,15,0,12,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro.io,AvroDataFile.,51,0,0,0,1,0,13,0,13,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro,package.SerializationVersions.,26,0,0,0,5,0,5,0,5,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro,package,3,0,0,0,0,0,1,0,1,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro,package.,14,0,0,0,3,0,3,0,3,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro,FieldNameEncoder.,154,0,6,0,21,0,12,0,9,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro,AvroFeatureSerializer,122,0,0,0,20,0,15,0,15,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro,AvroFeatureSerializer.Builder,60,0,0,0,3,0,15,0,15,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro,FieldNameEncoder..anon.new Function() {...},20,0,0,0,3,0,4,0,4,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro,FieldNameEncoder..anon.new Function() {...},20,0,0,0,3,0,4,0,4,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro,AvroFeatureSerializer.,109,0,0,0,17,0,12,0,12,0
GeoMesa Features Avro,org.locationtech.geomesa.features.avro,FieldNameEncoder,100,0,8,0,11,0,19,0,15,0
