GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Features Common,org.locationtech.geomesa.features.interop,SerializationOptions,11,0,0,0,3,0,3,0,3,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,TwkbSerialization.XYMState,179,0,2,0,21,0,12,0,11,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,DimensionalBounds.MAccessor.,11,0,0,0,2,0,3,0,3,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,DimensionalBounds.LineStringBounds.,71,0,6,0,12,0,10,0,7,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,DimensionalBounds.MultiLineStringBounds.,127,0,10,0,11,0,12,0,7,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,DimensionalBounds,31,0,0,0,5,0,5,0,5,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,TwkbSerialization.DeltaState,7,0,0,0,3,0,2,0,2,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,WkbSerialization.XYMSerializer,295,0,14,0,9,0,17,0,10,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,GeoJsonSerializer.BooleanWriter,21,0,0,0,2,0,2,0,2,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,GeoJsonSerializer.UuidWriter,32,0,2,0,5,0,3,0,2,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,GeoJsonSerializer.StringWriter,21,0,0,0,2,0,2,0,2,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,TwkbSerialization.GeometryBytes.,50,0,0,0,9,0,9,0,9,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,package,12,0,0,0,0,0,4,0,4,0
GeoMesa Features Common,org.locationtech.geomesa.features.serialization,DimensionalBounds.PolygonBounds.,122,0,14,0,26,0,14,0,7,0
