GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,FileSystemExporter.OrcFileSystemExporter,29,0,0,0,3,0,2,0,2,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,ArrowExporter.DictionaryDelegate.,10,0,0,0,2,0,3,0,3,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,FileSystemExporter.ParquetFileSystemExporter,56,0,2,0,9,0,3,0,2,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,ShapefileExporter,310,0,10,0,32,0,30,0,25,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,LeafletMapExporter.,243,0,16,0,20,0,21,0,13,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,GmlExporter..anon.new Runnable() {...},39,0,4,0,7,0,4,0,2,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,GeoJsonExporter,93,0,6,0,18,0,11,0,8,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,BinExporter,247,0,18,0,22,0,28,0,19,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,LeafletMapExporter..anonfun.new Serializable() {...},55,0,12,0,2,0,9,0,3,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,AvroExporter,88,0,0,0,12,0,10,0,10,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,GmlExporter,173,0,6,0,34,0,15,0,12,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,FileSystemExporter,74,0,6,0,11,0,12,0,9,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,FileSystemExporter.,39,0,4,0,1,0,6,0,4,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,ArrowExporter.BatchDelegate,116,0,4,0,21,0,12,0,10,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,GmlExporter.,31,0,0,0,5,0,5,0,5,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,ArrowExporter.EncodedDelegate,27,0,0,0,5,0,6,0,6,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,ArrowExporter.DictionaryDelegate,147,0,6,0,24,0,13,0,10,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,NullExporter.,36,0,0,0,6,0,7,0,7,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,AvroExporter.,12,0,0,0,1,0,3,0,3,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,DelimitedExporter,362,0,32,0,34,0,35,0,19,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,GmlExporter.AsyncFeatureCollection,95,0,0,0,17,0,13,0,13,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,NullExporter,11,0,0,0,0,0,3,0,3,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,LeafletMapExporter,383,0,18,0,42,0,33,0,24,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,GmlExporter.AsyncFeatureCollection..anon.new SimpleFeatureIterator() {...},77,0,8,0,17,0,10,0,6,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,ArrowExporter.BatchDelegate.,10,0,0,0,2,0,3,0,3,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,DelimitedExporter.,32,0,0,0,6,0,6,0,6,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,ArrowExporter,407,0,34,0,19,0,37,0,20,0
GeoMesa Feature Exporters,org.locationtech.geomesa.features.exporters,ArrowExporter.,8,0,0,0,2,0,2,0,2,0
