GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,LazyDeserialization.ImmutableLazyDeserialization,10,0,0,0,2,0,2,0,2,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,IntBitSet.BitSet64,132,0,9,0,17,0,20,0,14,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization.KryoMapReader,185,0,29,0,10,0,30,0,15,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,IntBitSet.BitSet128,226,0,15,0,32,0,34,0,22,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserializationV2.BytesReader.,171,0,6,0,8,0,33,0,30,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserializationV2.BooleanReader.,165,0,6,0,4,0,33,0,30,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoLongWriter.,40,0,0,0,2,0,11,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserializationV2.IntReader.,165,0,6,0,4,0,33,0,30,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,LazyDeserialization.LazyUserDataReaderV2,59,0,0,0,5,0,3,0,3,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoGeometryWkbWriter.,41,0,0,0,2,0,11,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserializationV2.FloatReader.,165,0,6,0,4,0,33,0,30,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,IntBitSet.BitSet96,179,0,12,0,26,0,27,0,18,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserializationV2.ListReader,184,0,8,0,11,0,33,0,29,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoBytesWriter.,48,0,0,0,4,0,11,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserializationV2.DoubleReader.,165,0,6,0,4,0,33,0,30,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization.KryoMapReader.,33,0,2,0,1,0,7,0,6,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization.KryoFloatReader.,76,0,4,0,3,0,13,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,ActiveDeserialization.MutableActiveDeserialization,10,0,0,0,2,0,2,0,2,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,IntBitSet.BitSet32,85,0,6,0,12,0,13,0,10,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization.KryoStringReader.,74,0,4,0,3,0,13,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoGeometryTwkbWriter,98,0,16,0,2,0,21,0,13,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserializationV2.LongReader.,165,0,6,0,4,0,33,0,30,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoDoubleWriter.,40,0,0,0,2,0,11,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.,443,0,90,0,37,0,58,0,13,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization.KryoLongReader.,76,0,4,0,3,0,13,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,LazyDeserialization.LazyIntUserDataReaderV3,82,0,0,0,7,0,3,0,3,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization,62,0,2,0,7,0,7,0,6,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,IntBitSet.,235,0,20,0,28,0,26,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoFloatWriter.,40,0,0,0,2,0,11,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserializationV2.StringReader.,156,0,4,0,3,0,32,0,30,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,IntBitSet.BitSet32.,10,0,0,0,1,0,3,0,3,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoGeometryTwkbWriter.,27,0,2,0,1,0,7,0,6,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoDateWriter.,41,0,0,0,2,0,11,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoMapWriter.,33,0,2,0,1,0,7,0,6,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,NonMutatingInput,798,0,76,0,155,0,48,0,10,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,LazyDeserialization.,8,0,0,0,2,0,2,0,2,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization.KryoListReader,154,0,22,0,10,0,24,0,13,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoJsonWriter.,41,0,0,0,2,0,11,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,LazyDeserialization,287,0,24,0,42,0,21,0,9,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization.,400,0,84,0,26,0,57,0,15,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization,306,0,16,0,51,0,17,0,9,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,LazyDeserialization.WithoutUserDataReader.,42,0,0,0,3,0,12,0,12,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,IntBitSet.BitSetN,97,0,4,0,11,0,11,0,9,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoBooleanWriter.,40,0,0,0,2,0,11,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization.KryoJsonReader.,39,0,0,0,2,0,11,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization.KryoGeometryReader.,39,0,0,0,2,0,11,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization.KryoIntReader.,76,0,4,0,3,0,13,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureDeserialization.KryoBooleanReader.,76,0,4,0,3,0,13,0,11,0
GeoMesa Features Kryo,org.locationtech.geomesa.features.kryo.impl,KryoFeatureSerialization.KryoStringWriter.,40,0,0,0,2,0,11,0,11,0
