GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.factory,FastFilterFactory.,76,0,0,0,14,0,8,0,8,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.factory,FastFilterFactory,1485,0,204,0,178,0,144,0,42,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,OrSequentialEquality.OrSequentialListEquality,38,0,6,0,8,0,5,0,2,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastPropertyIsEqualTo.FastIsEqualTo,30,0,2,0,4,0,5,0,4,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastPropertyIsEqualTo.FastIsEqualToIgnoreCase,28,0,0,0,4,0,4,0,4,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastPropertyName.FastPropertyNameAccessor,58,0,6,0,5,0,5,0,2,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,OrHashEquality.OrHashListEquality,38,0,6,0,8,0,5,0,2,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastTemporalOperator.FastBeforeExpression,43,0,4,0,6,0,6,0,4,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastDWithin.DWithinLiteral,249,0,16,0,21,0,22,0,14,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastPropertyIsEqualTo,142,0,18,0,13,0,21,0,12,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastComparisonOperator.FastGreaterThanExpression,47,0,6,0,6,0,7,0,4,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastTemporalOperator.FastAfterExpression,43,0,4,0,6,0,6,0,4,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,OrHashEquality.,18,0,0,0,3,0,3,0,3,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastComparisonOperator.FastLessThanOrEqualToLiteral,47,0,6,0,6,0,7,0,4,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastPropertyIsEqualTo.FastListIsEqualToAny,35,0,4,0,5,0,6,0,4,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastTemporalOperator.FastBeforeLiteral,43,0,4,0,6,0,6,0,4,0
GeoMesa Filters and Functions,org.locationtech.geomesa.filter.expression,FastTemporalOperator.FastDuring,68,0,6,0,8,0,9,0,6,0
