GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemDataStore.FileSystemDataStoreConfig.,49,0,2,0,1,0,7,0,6,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemFeatureStore.FileSystemFeatureWriterAppend,198,0,8,0,23,0,21,0,17,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemDataStore.,8,0,0,0,2,0,2,0,2,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemDataStoreParams.,98,0,0,0,1,0,26,0,26,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemDataStore.FileSystemDataStoreConfig,287,0,54,0,8,0,54,0,24,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemFeatureStore..anon.new QueryCapabilities() {...},7,0,0,0,3,0,3,0,3,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemDataStoreFactory.FileSystemDataStoreParams.,98,0,0,0,1,0,26,0,26,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemFeatureStore.FileSystemScanner,52,0,2,0,7,0,7,0,6,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemStorageManager,419,0,32,0,24,0,49,0,33,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemStorageManager.,30,0,0,0,5,0,4,0,4,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemDataStoreFactory,303,0,8,0,29,0,31,0,27,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemFeatureStore.FileSystemFeatureIterator,27,0,0,0,5,0,6,0,6,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemDataStoreParams,513,0,2,0,56,0,7,0,6,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemStorageManager..anon.new CacheLoader() {...},44,0,0,0,2,0,7,0,7,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemFeatureStore.,16,0,0,0,3,0,3,0,3,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemDataStore,421,0,14,0,37,0,31,0,24,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemFeatureStore,322,0,18,0,40,0,40,0,31,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemFeatureStore.FileSystemFeatureWriterAppend..anon.new RemovalListener() {...},58,0,10,0,5,0,7,0,2,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemFeatureStore.FileSystemFeatureWriterModify,78,0,4,0,10,0,12,0,10,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemFeatureStore.FileSystemFeatureWriterAppend..anon.new CacheLoader() {...},41,0,2,0,2,0,8,0,7,0
GeoMesa FileSystem DataStore,org.locationtech.geomesa.fs.data,FileSystemDataStoreFactory.,109,0,4,0,16,0,10,0,8,0
