GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common.s3.v2,S3VisibilityObserverFactory,90,0,2,0,14,0,12,0,11,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common.s3.v2,S3VisibilityObserver,44,0,0,0,4,0,2,0,2,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common.interop,ConfigurationUtils,15,60,0,0,4,16,2,7,2,7
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,AbstractFileSystemStorage.ChunkedFileSystemWriter,157,0,10,0,24,0,19,0,14,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,AbstractFileSystemStorage.UpdateObserver,61,0,2,0,4,0,3,0,2,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,FileSystemThreadedReader.AppendingReaderIterator,511,0,8,0,16,0,105,0,101,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,package.RichSimpleFeatureType,104,0,0,0,16,0,19,0,19,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,SizeableFileSystemStorage,190,0,10,0,16,0,19,0,14,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,package.anon.lazy.macro.27.new Serializable() {...},488,0,40,0,1,0,42,0,22,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,SizeableFileSystemStorage.,30,0,0,0,5,0,5,0,5,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,FileSystemThreadedReader.DeletingReaderIterator,528,0,10,0,15,0,103,0,98,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,AbstractFileSystemStorage.WriterConfig.,33,0,2,0,1,0,7,0,6,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,FileSystemThreadedReader.ReaderTask,95,0,4,0,10,0,8,0,6,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,AbstractFileSystemStorage.,8,0,0,0,2,0,2,0,2,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,FileSystemThreadedReader..anon.new Phaser() {...},12,0,0,0,4,0,2,0,2,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,AbstractFileSystemStorage.FileSystemUpdateWriterImpl,613,0,12,0,23,0,114,0,108,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,AbstractFileSystemStorage.MetadataObserver,48,0,2,0,9,0,8,0,7,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,package.anon.lazy.macro.51.new Serializable() {...},393,0,32,0,1,0,36,0,20,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,package.,63,0,0,0,7,0,9,0,9,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,FileSystemThreadedReader.ModifyingReaderIterator,494,0,4,0,11,0,103,0,101,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,AbstractFileSystemStorage.WriterConfig,117,0,23,0,1,0,26,0,14,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,FileSystemThreadedReader,501,0,12,0,26,0,106,0,100,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,package,16,0,0,0,0,0,5,0,5,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,package.StorageKeys.,44,0,0,0,8,0,8,0,8,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,package.RichSimpleFeatureType.,273,0,20,0,21,0,38,0,28,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,FileSystemThreadedReader.ChainedReaderTask,66,0,0,0,14,0,4,0,4,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,package.StorageSerialization.,85,0,2,0,8,0,8,0,7,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,FileSystemThreadedReader.,360,0,38,0,37,0,29,0,10,0
GeoMesa FileSystem Storage Common,org.locationtech.geomesa.fs.storage.common,FileSystemThreadedReader.ChainedReaderTask..anon.new Phaser() {...},64,0,4,0,6,0,4,0,2,0
