GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeReader.GeometryWkbReader,84,0,8,0,10,0,9,0,5,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeWriter.SetVectorBytes,25,0,2,0,5,0,3,0,2,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeWriter.PolygonWriter,280,0,8,0,35,0,14,0,10,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeWriter.BooleanWriter,29,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeWriter.BytesWriter,29,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeReader.LongReader,28,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeWriter.ListWriter,97,0,4,0,15,0,5,0,3,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcFileSystemReader,140,0,4,0,13,0,11,0,9,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeReader.UuidReader,28,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcFileSystemWriter,181,0,6,0,22,0,16,0,13,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeReader.MultiLineStringReader,163,0,8,0,22,0,10,0,6,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeReader.FloatReader,28,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcSearchArguments,6,0,0,0,0,0,1,0,1,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeWriter.SetVectorBoolean,28,0,4,0,5,0,4,0,2,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeWriter.SetVectorUuid,29,0,2,0,6,0,3,0,2,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeReader.GetVectorFloat,22,0,4,0,4,0,4,0,2,0
GeoMesa FileSystem Storage ORC IO,org.locationtech.geomesa.fs.storage.orc.io,OrcAttributeWriter.,854,0,176,0,57,0,100,0,12,0
