GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcInputFormatReader.,754,0,176,0,52,0,101,0,13,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.MultiPointOutputFormatWriter,132,0,8,0,22,0,7,0,3,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.FloatOutputFormatWriter,29,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.DateOutputFormatWriter,29,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.IntOutputFormatWriter,29,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcInputFormatReader.LongInputFormatReader,28,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.OutputFormatWriterAdapter,16,0,0,0,2,0,2,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.SetOutputFormatFloat,22,0,4,0,7,0,4,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.SetOutputFormatUuid,24,0,4,0,7,0,4,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcInputFormatReader,6,0,0,0,0,0,2,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter..anon.new OrcOutputFormatWriter.SetOutputFormatString() {...},10,0,0,0,1,0,2,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter..anon.new OrcOutputFormatWriter.SetOutputFormatDate() {...},10,0,0,0,1,0,2,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter..anon.new OrcOutputFormatWriter.SetOutputFormatDouble() {...},10,0,0,0,1,0,2,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter..anon.new OrcOutputFormatWriter.SetOutputFormatFloat() {...},10,0,0,0,1,0,2,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter..anon.new OrcOutputFormatWriter.SetOutputFormatLong() {...},10,0,0,0,1,0,2,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter..anon.new OrcOutputFormatWriter.SetOutputFormatInt() {...},10,0,0,0,1,0,2,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.StringOutputFormatWriter,29,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter..anon.new OrcOutputFormatWriter.SetOutputFormatUuid() {...},10,0,0,0,1,0,2,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter,3,0,0,0,0,0,1,0,1,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter..anon.new OrcOutputFormatWriter.SetOutputFormatBytes() {...},10,0,0,0,1,0,2,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.PointOutputFormatWriter,83,0,6,0,16,0,6,0,3,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter..anon.new OrcOutputFormatWriter.SetOutputFormatBoolean() {...},10,0,0,0,1,0,2,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcInputFormatReader.DateInputFormatReader,28,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.MultiLineStringOutputFormatWriter,189,0,10,0,30,0,8,0,3,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.DoubleOutputFormatWriter,29,0,0,0,2,0,5,0,5,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcInputFormatReader.InputFormatReaderAdapter,22,0,2,0,5,0,3,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcInputFormatReader.ConvertInputFormatDouble,10,0,0,0,3,0,3,0,3,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcOutputFormatWriter.SetOutputFormatBytes,26,0,4,0,8,0,4,0,2,0
GeoMesa FileSystem Storage ORC,org.locationtech.geomesa.fs.storage.orc.utils,OrcInputFormatReader.BytesInputFormatReader,28,0,0,0,2,0,5,0,5,0
