GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,FilterConverter..anonfun.values.lzycompute.1.new Serializable() {...},55,0,8,0,3,0,7,0,3,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,ParquetFileSystemStorage.FileValidationObserver.,27,0,2,0,1,0,7,0,6,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,FilterConverter,5,0,0,0,0,0,1,0,1,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,ParquetFileSystemStorage.FileValidationObserver,178,0,22,0,10,0,28,0,17,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,ParquetFileSystemStorageFactory,44,0,2,0,6,0,6,0,5,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,package.ReadSchema.,228,0,22,0,22,0,26,0,15,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,FilterConverter.,1348,0,136,0,89,0,127,0,59,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,FilterConverter.MillisToMicrosVisitor.,150,0,0,0,16,0,19,0,19,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,ParquetFileSystemStorage.,57,0,4,0,4,0,9,0,7,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,ParquetFileSystemStorage,292,0,10,0,23,0,19,0,14,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,package.,8,0,0,0,2,0,2,0,2,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,package.ReadSchema,117,0,23,0,1,0,26,0,14,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,package.ReadFilter,117,0,23,0,1,0,26,0,14,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet,package.ReadFilter.,135,0,18,0,7,0,15,0,6,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureOutputFormat.,51,0,6,0,12,0,6,0,3,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureOutputFormat,39,0,2,0,7,0,5,0,4,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureInputFormat.ParquetSimpleFeatureTransformRecordReader,17,0,2,0,3,0,3,0,2,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureActionInputFormat.ParquetSimpleFeatureActionTransformRecordReader,32,0,2,0,5,0,3,0,2,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureInputFormat.ParquetSimpleFeatureInputFormatBase,54,0,0,0,10,0,5,0,5,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureInputFormat.ParquetSimpleFeatureRecordReader,14,0,2,0,3,0,3,0,2,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureOutputFormat.ParquetMultiFileOutputCommitter,100,0,6,0,7,0,10,0,7,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureInputFormat.,172,0,10,0,13,0,16,0,11,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureInputFormat.ParquetSimpleFeatureTransformRecordReaderBase,24,0,0,0,5,0,3,0,3,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetStorageConfiguration,116,0,4,0,16,0,9,0,7,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureInputFormat.ParquetSimpleFeatureRecordReaderBase,64,0,4,0,14,0,12,0,10,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetPartitionOutputFormat,6,0,0,0,1,0,1,0,1,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureActionInputFormat,94,0,8,0,6,0,6,0,2,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureInputFormat,60,0,6,0,4,0,6,0,3,0
GeoMesa FileSystem Storage Parquet,org.locationtech.geomesa.fs.storage.parquet.jobs,ParquetSimpleFeatureActionInputFormat.ParquetSimpleFeatureActionRecordReader,29,0,2,0,5,0,3,0,2,0
