GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsTopKCommand,52,0,0,0,2,0,12,0,12,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsTopKCommand.FsStatsTopKParams,71,0,0,0,1,0,17,0,17,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsTopKCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsBoundsCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsBoundsCommand,52,0,0,0,2,0,12,0,12,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsBoundsCommand.FsStatsBoundsParams,62,0,0,0,1,0,15,0,15,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsHistogramCommand.FsStatsHistogramParams,71,0,0,0,1,0,17,0,17,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsCountCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsHistogramCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsCountCommand.FsStatsCountParams,53,0,0,0,1,0,13,0,13,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsCountCommand,52,0,0,0,2,0,12,0,12,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.stats,FsStatsHistogramCommand,52,0,0,0,2,0,12,0,12,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.export,FsExportCommand.OptionalQueryThreads,6,0,0,0,2,0,1,0,1,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.export,FsExportCommand.FsExportParams,250,0,8,0,1,0,51,0,47,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.export,FsPlaybackCommand,102,0,0,0,3,0,20,0,20,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.export,FsPlaybackCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.export,FsPlaybackCommand.FsPlaybackParams,287,0,8,0,1,0,61,0,57,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.export,FsExportCommand,99,0,0,0,3,0,19,0,19,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.export,FsExportCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.ingest,FsManageMetadataCommand.UnregisterCommand,176,0,2,0,11,0,18,0,17,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.ingest,FileSystemConverterJob,212,0,8,0,30,0,14,0,10,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.ingest,FsManageMetadataCommand.RegisterParams,68,0,0,0,5,0,17,0,17,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.ingest,FileSystemConverterJob.OrcConverterJob,20,0,0,0,3,0,2,0,2,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.ingest,FileSystemConverterJob.,8,0,0,0,2,0,2,0,2,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.ingest,FileSystemConverterJob.FsIngestMapper,213,0,6,0,23,0,22,0,19,0
GeoMesa FileSystem Tools,org.locationtech.geomesa.fs.tools.ingest,FsManageMetadataCommand.CompactParams,47,0,0,0,2,0,11,0,11,0
