GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,PartitionMaintenance.,212,0,0,0,13,0,14,0,14,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,AnalyzePartitions,18,0,0,0,0,0,4,0,4,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,PartitionWriteAheadLog,14,0,0,0,0,0,3,0,3,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,PartitionMaintenance,18,0,0,0,0,0,4,0,4,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,AnalyzePartitions.,150,0,0,0,11,0,12,0,12,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,MergeWriteAheadPartitions.,375,0,0,0,40,0,8,0,8,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,DropAgedOffPartitions.,199,0,0,0,16,0,8,0,8,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,PartitionWriteAheadLog.,510,0,0,0,55,0,8,0,8,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,MergeWriteAheadPartitions,14,0,0,0,0,0,3,0,3,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,RollWriteAheadLog.,401,0,0,0,32,0,14,0,14,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,RollWriteAheadLog,18,0,0,0,0,0,4,0,4,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,DropAgedOffPartitions,14,0,0,0,0,0,3,0,3,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,CompactPartitions.,507,0,0,0,57,0,10,0,10,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.procedures,CompactPartitions,14,0,0,0,0,0,3,0,3,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.functions,TruncateToTenMinutes,43,0,0,0,4,0,5,0,5,0
GeoMesa GeoTools Postgis Partitioning,org.locationtech.geomesa.gt.partition.postgis.dialect.functions,TruncateToPartition,43,0,0,0,4,0,5,0,5,0
