GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.ingest,GeoToolsIngestCommand,114,0,4,0,2,0,22,0,20,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.ingest,GeoToolsIngestCommand.GeoToolsIngestParams,160,0,4,0,1,0,36,0,34,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.ingest,GeoToolsIngestCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools,GeoToolsDataStoreCommand..anonfun.new Serializable() {...},76,0,12,0,4,0,9,0,3,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools,GeoToolsDataStoreCommand.GeoToolsDistributedCommand,38,0,0,0,5,0,5,0,5,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools,GeoToolsDataStoreCommand,105,0,6,0,10,0,9,0,6,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools,GeoToolsDataStoreCommand.GeoToolsDataStoreParams,6,0,0,0,2,0,1,0,1,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools,GeoToolsDataStoreCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools,GeoToolsRunner.,155,0,4,0,14,0,15,0,13,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools,GeoToolsRunner,24,0,0,0,0,0,6,0,6,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.export,GeoToolsPlaybackCommand,114,0,4,0,2,0,23,0,21,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.export,GeoToolsExportCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.export,GeoToolsExportCommand,113,0,4,0,2,0,22,0,20,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.export,GeoToolsPlaybackCommand.GeoToolsPlaybackParams,271,0,8,0,1,0,57,0,53,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.export,GeoToolsExportCommand.GeoToolsExportParams,234,0,8,0,1,0,47,0,43,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.export,GeoToolsPlaybackCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsRemoveSchemaCommand,88,0,4,0,2,0,17,0,15,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsUpdateSchemaCommand,460,0,28,0,38,0,36,0,22,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsGetTypeNamesCommand.GeoToolsGetTypeNamesParams,19,0,0,0,1,0,5,0,5,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsGetTypeNamesCommand,74,0,4,0,2,0,14,0,12,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsGetSftConfigCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsUpdateSchemaCommand.GeoToolsUpdateSchemaParams,61,0,2,0,5,0,13,0,12,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsDeleteFeaturesCommand.GeoToolsDeleteFeaturesParams,46,0,0,0,1,0,11,0,11,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsDeleteFeaturesCommand,74,0,4,0,2,0,14,0,12,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsCreateSchemaCommand.GeoToolsCreateSchemaParams,46,0,0,0,1,0,11,0,11,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsUpdateSchemaCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsDescribeSchemaCommand,84,0,4,0,2,0,16,0,14,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsDescribeSchemaCommand.GeoToolsDescribeParams,28,0,0,0,1,0,7,0,7,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsGetSftConfigCommand.GeoToolsGetSftConfigParams,51,0,0,0,1,0,13,0,13,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsCreateSchemaCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsGetTypeNamesCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsCreateSchemaCommand,85,0,4,0,2,0,16,0,14,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsRemoveSchemaCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,PostgisUpgradeSchemaCommand.PostgisUpgradeSchemaParams,28,0,0,0,1,0,7,0,7,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsDeleteFeaturesCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsGetSftConfigCommand,82,0,4,0,2,0,16,0,14,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,PostgisUpgradeSchemaCommand,234,0,20,0,17,0,27,0,17,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsDescribeSchemaCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsRemoveSchemaCommand.GeoToolsRemoveSchemaParams,46,0,0,0,1,0,11,0,11,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,PostgisUpgradeSchemaCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa GeoTools Tools,org.locationtech.geomesa.geotools.tools.data,GeoToolsUpdateSchemaCommand..anonfun.new Serializable() {...},43,0,8,0,3,0,7,0,3,0
