GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase,package.HBaseSystemProperties.,232,0,0,0,23,0,23,0,23,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase,package.,8,0,0,0,2,0,2,0,2,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseConnectionPool.ConfigKey.,36,0,2,0,1,0,7,0,6,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseDataStoreFactory.HBaseDataStoreConfig,352,0,68,0,11,0,66,0,28,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseDataStoreFactory.,446,0,24,0,55,0,33,0,21,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseDataStoreFactory.CoprocessorConfig.,45,0,2,0,1,0,7,0,6,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseBackedMetadata.state.,13,0,0,0,3,0,2,0,2,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseQueryPlan.TableScan.,33,0,2,0,1,0,7,0,6,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseDataStore,1044,0,74,0,70,0,81,0,44,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseDataStoreFactory..anonfun.enabled.lzycompute.1.new Serializable() {...},47,0,8,0,3,0,7,0,3,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseDataStore.,15,0,0,0,3,0,3,0,3,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseIndexAdapter.HBaseIndexWriter,718,0,40,0,82,0,58,0,38,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseQueryPlan.,82,0,2,0,7,0,7,0,6,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseDataStoreFactory.HBaseDataStoreConfig.,56,0,2,0,1,0,7,0,6,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseBackedMetadata.,22,0,0,0,4,0,4,0,4,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseIndexAdapter.,432,0,40,0,39,0,52,0,32,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseQueryPlan.LocalProcessorScanPlan.,48,0,2,0,1,0,7,0,6,0
GeoMesa HBase DataStore,org.locationtech.geomesa.hbase.data,HBaseQueryPlan,343,0,2,0,17,0,34,0,33,0
