GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto,20,0,0,0,7,0,3,0,3,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.GeoMesaCoprocessorResponse.new AbstractParser() {...},9,0,0,0,2,0,2,0,2,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.GeoMesaCoprocessorService.new GeoMesaProto.GeoMesaCoprocessorService() {...},13,0,0,0,3,0,2,0,2,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.GeoMesaCoprocessorService.new BlockingService() {...},70,0,12,0,17,0,11,0,5,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.GeoMesaCoprocessorResponse.Builder,426,0,36,0,121,0,50,0,32,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.GeoMesaCoprocessorService.BlockingStub,19,0,0,0,6,0,2,0,2,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.GeoMesaCoprocessorService.Stub,25,0,0,0,10,0,3,0,3,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.GeoMesaCoprocessorResponse,615,0,75,0,145,0,78,0,39,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.GeoMesaCoprocessorRequest.Builder,279,0,28,0,84,0,38,0,24,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.GeoMesaCoprocessorRequest.new AbstractParser() {...},9,0,0,0,2,0,2,0,2,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.new Descriptors.FileDescriptor.InternalDescriptorAssigner() {...},53,0,0,0,7,0,2,0,2,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.GeoMesaCoprocessorRequest,506,0,64,0,127,0,69,0,36,0
GeoMesa HBase RPC,org.locationtech.geomesa.hbase.proto,GeoMesaProto.GeoMesaCoprocessorService,94,0,12,0,24,0,16,0,10,0
