GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Index API,org.locationtech.geomesa.index.index.s2,S2Index.,28,0,0,0,5,0,6,0,6,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s2,S2Index,90,0,4,0,5,0,11,0,9,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s2,S2IndexKeySpace.,51,0,8,0,5,0,8,0,4,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s2,package.S2IndexValues,144,0,30,0,5,0,32,0,16,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s2,package.S2IndexValues.,36,0,2,0,1,0,7,0,6,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s2,S2IndexKeySpace,650,0,34,0,57,0,56,0,39,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s2,package.,8,0,0,0,2,0,2,0,2,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s3,package.S3IndexKey.,39,0,2,0,1,0,7,0,6,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s3,package.S3IndexValues.,49,0,2,0,1,0,7,0,6,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s3,S3Index.,28,0,0,0,5,0,6,0,6,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s3,S3IndexKeySpace,1585,0,84,0,125,0,87,0,45,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s3,package.S3IndexKey,180,0,20,0,4,0,33,0,22,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s3,package.,8,0,0,0,2,0,2,0,2,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s3,S3IndexKeySpace.,76,0,12,0,6,0,12,0,6,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s3,S3Index,173,0,10,0,6,0,17,0,12,0
GeoMesa Index API,org.locationtech.geomesa.index.index.s3,package.S3IndexValues,287,0,54,0,9,0,54,0,24,0
