GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Jobs,org.locationtech.geomesa.jobs.interop.mapreduce,GeoMesaOutputFormat,29,0,0,0,8,0,5,0,5,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,GeoMesaConfigurator.,466,0,16,0,39,0,38,0,30,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,JobUtils,6,0,0,0,0,0,1,0,1,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,package.JobResult,8,0,2,0,2,0,3,0,2,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,package.JobResult.JobSuccess,263,0,43,0,11,0,39,0,17,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,package.JobResult.JobFailure,99,0,16,0,3,0,23,0,15,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,GeoMesaConfigurator,72,0,0,0,0,0,16,0,16,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,package.JobResult.JobFailure.,27,0,2,0,1,0,7,0,6,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,package.NoStatus.,10,0,0,0,3,0,4,0,4,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,package.JobResult.,8,0,0,0,2,0,2,0,2,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,package.,8,0,0,0,2,0,2,0,2,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,JobUtils.,109,0,8,0,7,0,10,0,6,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,GeoMesaConfigurator.Keys.,155,0,0,0,13,0,13,0,13,0
GeoMesa Jobs,org.locationtech.geomesa.jobs,package.JobResult.JobSuccess.,33,0,2,0,1,0,7,0,6,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,ConverterInputFormat,53,0,0,0,2,0,12,0,12,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,ConverterRecordReader.MapReduceListener,28,0,2,0,3,0,4,0,3,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,SimpleFeatureSerialization.HadoopSimpleFeatureDeserializer,167,0,4,0,13,0,15,0,13,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,SimpleFeatureSerialization.HadoopSimpleFeatureSerializer,167,0,8,0,13,0,16,0,12,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,GeoMesaOutputFormat.OutputCounters.,26,0,0,0,5,0,5,0,5,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,AvroFileInputFormat.Counters.,20,0,0,0,4,0,4,0,4,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,GeoMesaOutputFormat,75,0,2,0,8,0,10,0,9,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,ConverterInputFormat.,97,0,4,0,13,0,16,0,14,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,GeoMesaOutputFormat.,48,0,0,0,7,0,7,0,7,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,FileStreamInputFormat,28,0,0,0,3,0,8,0,8,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,AvroFileRecordReader,59,0,8,0,9,0,6,0,2,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,SimpleFeatureSerialization.,54,0,0,0,5,0,6,0,6,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,ConverterCombineInputFormat,13,0,0,0,3,0,3,0,3,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,CombineFileStreamRecordReaderWrapper,8,0,0,0,2,0,1,0,1,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,AvroFileRecordReader..anon.new Iterator() {...},401,0,0,0,7,0,95,0,95,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,GeoMesaOutputFormat.GeoMesaRecordWriter,280,0,14,0,27,0,22,0,15,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,AvroFileRecordReader..anon.new Iterator() {...},417,0,0,0,9,0,95,0,95,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,ConverterRecordReader,338,0,20,0,32,0,21,0,11,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,ConverterInputFormat.ConverterCounters.,26,0,0,0,5,0,5,0,5,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,FileStreamRecordReader,257,0,18,0,33,0,29,0,20,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,ConverterRecordReader..anon.new Iterator() {...},419,0,0,0,9,0,95,0,95,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,AvroFileInputFormat.,15,0,0,0,3,0,3,0,3,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,AvroFileInputFormat,12,0,0,0,2,0,3,0,3,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,SimpleFeatureSerialization,50,0,4,0,5,0,8,0,6,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,JobWithLibJars,73,0,2,0,6,0,6,0,5,0
GeoMesa Jobs,org.locationtech.geomesa.jobs.mapreduce,FileStreamInputFormat.,53,0,0,0,9,0,7,0,7,0
