GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroGeomFormat.,83,0,6,0,12,0,12,0,9,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.EpochMillisConverter.,56,0,4,0,3,0,14,0,12,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentKafkaDataStoreFactory.,397,0,14,0,36,0,24,0,17,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentMetadata..anonfun.getFeatureTypes.new Serializable() {...},45,0,8,0,2,0,7,0,3,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentGeoMessageSerializer.ConfluentGeoMessageSerializerFactory,33,0,0,0,4,0,2,0,2,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentKafkaDataStoreFactory,86,0,0,0,13,0,14,0,14,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.WktConverter.,53,0,4,0,3,0,14,0,12,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.FieldMapping.,41,0,2,0,1,0,7,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroGeomType.,83,0,0,0,11,0,14,0,14,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.Builder.,10,0,0,0,2,0,3,0,3,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroDeserializableEnumProperty.,8,0,0,0,2,0,2,0,2,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeometryField.,34,0,2,0,1,0,7,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.VisibilityField.,35,0,0,0,1,0,10,0,10,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.ConfluentFeatureMapper,856,0,84,0,68,0,82,0,40,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentKafkaDataStore.,112,0,8,0,8,0,9,0,5,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroGeomFormat..anonfun.new Serializable() {...},86,0,24,0,3,0,17,0,5,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroProperty.InvalidPropertyTypeException.,33,0,2,0,1,0,7,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentKafkaDataStore..anon.new KafkaDataStore() {...},21,0,0,0,7,0,4,0,4,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroDeserializableEnumProperty.MissingPropertyException,124,0,21,0,2,0,24,0,13,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.IsoDateTimeConverter.,55,0,4,0,5,0,14,0,12,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.StandardField.,35,0,0,0,1,0,10,0,10,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.DateField,90,0,16,0,1,0,20,0,12,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroProperty.InvalidPropertyTypeException,124,0,21,0,2,0,24,0,13,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroExcludeField.,50,0,0,0,2,0,11,0,11,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer..anon.new ThreadLocal() {...},70,0,8,0,9,0,6,0,2,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentMetadata.,24,0,0,0,5,0,5,0,5,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.ConfluentFeatureMapper..anonfun.checkSchemaViolations.new Serializable() {...},54,0,10,0,3,0,8,0,3,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroBooleanProperty,13,0,0,0,4,0,1,0,1,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroDeserializableEnumProperty.MissingPropertyException.,33,0,2,0,1,0,7,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.IsoDateConverter.,55,0,4,0,5,0,14,0,12,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.,23,0,0,0,6,0,6,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentMetadata,257,0,34,0,30,0,39,0,22,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroDateFormat..anonfun.new Serializable() {...},123,0,36,0,4,0,24,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroDateFormat..anonfun.new Serializable() {...},178,0,48,0,4,0,27,0,3,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.Builder,77,0,0,0,7,0,15,0,15,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroDateFormat..anonfun.new Serializable() {...},129,0,36,0,4,0,24,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer,218,0,8,0,25,0,27,0,23,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroMetadata,159,0,28,0,1,0,31,0,16,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.UnsupportedAvroTypeException,97,0,16,0,2,0,19,0,11,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroGeomDefault.,50,0,0,0,2,0,11,0,11,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroGeomType..anonfun.new Serializable() {...},381,0,128,0,9,0,67,0,3,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.DateField.,27,0,2,0,1,0,7,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.FieldMapping,179,0,29,0,5,0,34,0,18,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroBooleanProperty..anonfun.valueMatcher.new Serializable() {...},118,0,34,0,3,0,20,0,3,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroProperty.,8,0,0,0,2,0,2,0,2,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentKafkaDataStore,6,0,0,0,0,0,1,0,1,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroMetadata.,37,0,2,0,1,0,7,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroProperty.InvalidPropertyValueException,124,0,21,0,2,0,24,0,13,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.UnsupportedAvroTypeException.,27,0,2,0,1,0,7,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroGeomFormat..anonfun.new Serializable() {...},123,0,32,0,3,0,19,0,3,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroGeomFormat..anonfun.new Serializable() {...},89,0,24,0,3,0,17,0,5,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroVisibilityField.,52,0,0,0,3,0,11,0,11,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser,8,0,0,0,0,0,2,0,2,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroEnumProperty,40,0,0,0,4,0,5,0,5,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.ConfluentFeatureMapper..anonfun.new Serializable() {...},63,0,4,0,2,0,9,0,7,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentFeatureSerializer.WkbConverter.,86,0,10,0,8,0,18,0,13,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroDeserializableEnumProperty.DeserializerException,134,0,21,0,3,0,24,0,13,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroDeserializableEnumProperty.DeserializerException.,34,0,2,0,1,0,7,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentGeoMessageSerializer.,8,0,0,0,2,0,2,0,2,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroProperty.InvalidPropertyValueException.,33,0,2,0,1,0,7,0,6,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentMetadata..anon.new CacheLoader() {...},130,0,6,0,11,0,11,0,8,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroVisibilityField..anonfun.new Serializable() {...},123,0,32,0,3,0,19,0,3,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroDeserializableEnumProperty,151,0,8,0,15,0,13,0,9,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroDateFormat.,59,0,0,0,8,0,9,0,9,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeometryField,126,0,21,0,1,0,25,0,14,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,ConfluentGeoMessageSerializer,29,0,2,0,5,0,4,0,3,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.GeoMesaAvroProperty,111,0,24,0,9,0,17,0,5,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser.,996,0,128,0,89,0,92,0,28,0
GeoMesa Kafka Confluent Datastore,org.locationtech.geomesa.kafka.confluent,SchemaParser..anonfun.new Serializable() {...},64,0,12,0,2,0,9,0,3,0
