GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,package.SerializableFeature,149,0,0,0,37,0,33,0,33,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,GeoMesaMessage.,95,0,2,0,8,0,13,0,12,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,package.SerializerCache,392,0,28,0,37,0,34,0,20,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,GeoMesaSerde.TypeSpecificSerde,40,0,0,0,8,0,10,0,10,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,package.GeoMessageStreamPartitioner,26,0,2,0,3,0,5,0,4,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,GeoMesaSerde,110,0,2,0,17,0,19,0,18,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,package.SerializerCache..anon.new Function() {...},23,0,2,0,2,0,5,0,4,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,package.SerializerCache..anon.new Function() {...},23,0,2,0,2,0,5,0,4,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,package.GeoMesaMessageSerializer,243,0,28,0,21,0,24,0,10,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,GeoMesaTimestampExtractor.DefaultDateExtractor,18,0,0,0,2,0,3,0,3,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,MessageAction.,22,0,0,0,2,0,4,0,4,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,GeoMesaTimestampExtractor,4,0,0,0,0,0,1,0,1,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,package.SerializerCache.SchemaMetadata,141,0,25,0,1,0,27,0,14,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,GeoMesaStreamsBuilder,205,0,6,0,19,0,24,0,21,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,GeoMesaTimestampExtractor.FeatureTimestampExtractor,230,0,32,0,24,0,23,0,7,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,GeoMesaStreamsBuilder..anonfun..nestedInanonfun.resetConfig.2.new Serializable() {...},45,0,12,0,1,0,9,0,3,0
GeoMesa Kafka Datastore,org.locationtech.geomesa.kafka.streams,GeoMesaSerde.,8,0,0,0,2,0,2,0,2,0
