GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Kafka Tools,org.locationtech.geomesa.kafka.tools.status,KafkaDescribeSchemaCommand,58,0,0,0,2,0,13,0,13,0
GeoMesa Kafka Tools,org.locationtech.geomesa.kafka.tools.status,KafkaGetSftConfigCommand,56,0,0,0,2,0,13,0,13,0
GeoMesa Kafka Tools,org.locationtech.geomesa.kafka.tools.status,KafkaDescribeSchemaCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Kafka Tools,org.locationtech.geomesa.kafka.tools.status,KafkaDescribeSchemaCommand.DescribeParameters,121,0,0,0,1,0,33,0,33,0
GeoMesa Kafka Tools,org.locationtech.geomesa.kafka.tools.status,KafkaGetSftConfigCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Kafka Tools,org.locationtech.geomesa.kafka.tools.status,KafkaGetSftConfigCommand.KafkaGetSftConfigParameters,144,0,0,0,1,0,39,0,39,0
GeoMesa Kafka Tools,org.locationtech.geomesa.kafka.tools.status,KafkaGetTypeNamesCommand,48,0,0,0,2,0,11,0,11,0
GeoMesa Kafka Tools,org.locationtech.geomesa.kafka.tools.status,KafkaGetTypeNamesCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Kafka Tools,org.locationtech.geomesa.kafka.tools.status,KafkaGetTypeNamesCommand.GetTypeNamesParams,112,0,0,0,1,0,31,0,31,0
GeoMesa Kafka Tools,org.locationtech.geomesa.kafka.tools.data,KafkaCreateSchemaCommand,59,0,0,0,2,0,13,0,13,0
GeoMesa Kafka Tools,org.locationtech.geomesa.kafka.tools.data,KafkaMigrateZkCommand,258,0,22,0,25,0,29,0,18,0
