GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStoreParams,77,0,0,0,0,0,25,0,25,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaFeatureWriter.AppendLambdaFeatureWriter,52,0,0,0,10,0,9,0,9,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStore..anon.new CacheLoader() {...},59,0,2,0,2,0,8,0,7,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStore..anon.new LambdaFeatureWriter.RequiredVisibilityWriter() {...},16,0,0,0,1,0,3,0,3,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStore..anon.new LambdaFeatureWriter.RequiredVisibilityWriter() {...},15,0,0,0,1,0,3,0,3,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStore.PersistenceConfig,143,0,21,0,2,0,26,0,15,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStore.,47,0,2,0,7,0,6,0,5,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStore.LambdaConfig,311,0,57,0,9,0,58,0,26,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStore,640,0,36,0,75,0,59,0,41,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaQueryRunner,32,0,0,0,2,0,1,0,1,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStoreFactory.,304,0,12,0,37,0,19,0,13,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStore.PersistenceConfig.,34,0,2,0,1,0,7,0,6,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaFeatureWriter.ModifyLambdaFeatureWriter,38,0,0,0,8,0,5,0,5,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaStats,430,0,14,0,30,0,59,0,52,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaQueryRunner.TransientQueryable,134,0,16,0,6,0,23,0,15,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaQueryRunner.,8,0,0,0,2,0,2,0,2,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaFeatureWriter.RequiredVisibilityWriter,9,0,0,0,3,0,2,0,2,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaQueryRunner.TransientQueryable..anon.new SimpleFeatureReader() {...},30,0,0,0,7,0,6,0,6,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaFeatureWriter.,17,0,0,0,3,0,3,0,3,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStoreFactory.Params.Accumulo.,104,0,0,0,10,0,10,0,10,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStore.LambdaConfig.,53,0,2,0,1,0,7,0,6,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStoreFactory.Params.,94,0,0,0,1,0,25,0,25,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaQueryRunner.TransientQueryable.,27,0,2,0,1,0,7,0,6,0
GeoMesa Lambda DataStore,org.locationtech.geomesa.lambda.data,LambdaDataStoreFactory,105,0,0,0,13,0,14,0,14,0
