GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index.param,STRtreeIndexParam,0,20,0,0,0,8,0,4,0,4
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index.param,BucketIndexParam,17,15,0,0,5,6,2,3,2,3
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.attribute,SimpleFeatureFidAttribute,0,9,0,0,0,3,0,2,0,2
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.attribute,SimpleFeatureAttribute,0,19,0,0,0,5,0,2,0,2
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.query,GeoToolsFilterQuery,38,22,10,0,5,6,7,4,2,4
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.query,Intersects,17,91,4,8,2,23,5,9,1,7
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index,AbstractGeoIndex,44,96,2,2,14,23,6,8,5,7
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index,GeoIndex,29,0,0,0,6,0,4,0,4,0
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index,AbstractGeoIndex.GeoIndexResultSet.new Iterator() {...},0,18,0,0,0,3,0,3,0,3
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index,AbstractGeoIndex.GeoIndexResultSet,24,49,0,0,6,11,4,6,4,6
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index,GeoIndexType,0,21,0,0,0,2,0,1,0,1
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index,AbstractGeoIndex.new AbstractFunction1() {...},8,27,0,0,3,3,0,2,0,2
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index,BucketGeoIndex,31,58,1,1,3,11,2,4,1,4
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index,AbstractGeoIndex.new HashSet() {...},0,7,0,0,0,3,0,1,0,1
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index,QuadTreeGeoIndex,0,8,0,0,0,2,0,1,0,1
GeoMesa Geo-support for CQ Engine,org.locationtech.geomesa.memory.cqengine.index,STRtreeGeoIndex,11,28,0,0,2,6,1,3,1,3
