GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.prometheus,PrometheusFactory..anon.1..anonfun..lessinit.greater.new PrometheusConfig() {...},31,0,0,0,2,0,8,0,8,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.prometheus,PrometheusFactory..anon.new PrometheusMeterRegistry() {...},59,0,6,0,7,0,5,0,2,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.prometheus,PrometheusFactory.PushGatewayConfig,171,0,37,0,5,0,38,0,18,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.prometheus,PrometheusFactory.anon.lazy.macro.112.new Serializable() {...},902,0,72,0,2,0,74,0,38,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.prometheus,PrometheusFactory,53,0,0,0,0,0,14,0,14,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.prometheus,PrometheusFactory.anon.lazy.macro.49.new Serializable() {...},710,0,56,0,1,0,58,0,30,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.prometheus,PrometheusFactory.PrometheusConfig,216,0,38,0,6,0,41,0,20,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.prometheus,PrometheusFactory.PrometheusConfig.,68,0,2,0,5,0,15,0,14,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.prometheus,PrometheusFactory.,291,0,10,0,46,0,24,0,19,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.prometheus,PrometheusFactory.PushGatewayConfig.,39,0,2,0,1,0,7,0,6,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.cloudwatch,CloudwatchFactory.CloudwatchConfig.,45,0,2,0,3,0,11,0,10,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.cloudwatch,CloudwatchFactory,17,0,0,0,0,0,5,0,5,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.cloudwatch,CloudwatchFactory.anon.lazy.macro.27.new Serializable() {...},492,0,40,0,1,0,42,0,22,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.cloudwatch,CloudwatchFactory.CloudwatchConfig,117,0,23,0,3,0,26,0,14,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.cloudwatch,CloudwatchFactory.,73,0,0,0,5,0,6,0,6,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.utils,TagUtils,4,0,0,0,0,0,1,0,1,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.utils,GaugeUtils.,94,0,0,0,11,0,9,0,9,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.utils,TagUtils.,12,0,0,0,3,0,3,0,3,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.utils,GaugeUtils,15,0,0,0,0,0,3,0,3,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.dbcp2,MetricsDataSource.,64,0,2,0,8,0,8,0,7,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer.dbcp2,MetricsDataSource,32,0,0,0,7,0,5,0,5,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,Instrumentations,7,0,0,0,0,0,2,0,2,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,Instrumentations.,216,0,10,0,15,0,22,0,17,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,RegistryFactory.BaseRegistryFactory.RegistryHolder,111,0,8,0,16,0,12,0,8,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,Instrumentations.InstrumentationConfig.,82,0,2,0,6,0,9,0,8,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,Instrumentations.InstrumentationConfig.anon.lazy.macro.27.new Serializable() {...},486,0,40,0,1,0,42,0,22,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,Instrumentations.InstrumentationConfig,225,0,51,0,7,0,50,0,22,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,RegistryFactory.BaseRegistryFactory,101,0,6,0,8,0,14,0,11,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,Instrumentations.Instrumentation,126,0,21,0,1,0,25,0,14,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,Instrumentations.Instrumentation.,34,0,2,0,1,0,7,0,6,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,RegistryFactory.,20,0,0,0,4,0,4,0,4,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,Instrumentations.InstrumentationConfig.anon.lazy.macro.98.new Serializable() {...},872,0,68,0,2,0,70,0,36,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,RegistryFactory,6,0,0,0,0,0,2,0,2,0
GeoMesa Metrics Micrometer,org.locationtech.geomesa.metrics.micrometer,RegistryFactory.BaseRegistryFactory.RegistryHolder.Deregistration,30,0,4,0,4,0,5,0,3,0
