GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,ProximitySearchProcess,74,0,6,0,5,0,7,0,4,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess.Envelope,789,0,73,0,43,0,68,0,30,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess.FeatureWithDistance.,34,0,2,0,1,0,7,0,6,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess.QueryEnvelope.,33,0,2,0,1,0,7,0,6,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess.,20,0,0,0,3,0,3,0,3,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess.Envelope.,94,0,4,0,5,0,8,0,6,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,RouteVisitor..anon.2..anon.new SimpleFeatureIterator() {...},69,0,2,0,5,0,8,0,7,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess.KNNVisitor,946,0,58,0,64,0,62,0,33,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,JoinProcess,686,0,82,0,69,0,61,0,20,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,QueryVisitor,392,0,38,0,31,0,36,0,17,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,RouteVisitor.,337,0,20,0,36,0,27,0,17,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,JoinProcess..anon.1..anon.new SimpleFeatureIterator() {...},151,0,8,0,13,0,14,0,10,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,RouteVisitor..anon.new ThreadLocal() {...},7,0,0,0,2,0,2,0,2,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,RouteVisitor..anon.new DecoratingSimpleFeatureCollection() {...},36,0,0,0,11,0,2,0,2,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess.KnnCalculator.,10,0,0,0,2,0,3,0,3,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess.KnnCalculator,255,0,22,0,37,0,23,0,12,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess.FeatureWithDistance,130,0,19,0,2,0,25,0,15,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,JoinProcess..anon.new DecoratingSimpleFeatureCollection() {...},27,0,0,0,8,0,3,0,3,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess.QueryEnvelope,260,0,35,0,11,0,38,0,20,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess.KnnWindow,224,0,16,0,23,0,21,0,13,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,ProximityVisitor,205,0,12,0,18,0,20,0,14,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,RouteVisitor,399,0,32,0,34,0,36,0,20,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,QueryProcess,118,0,8,0,7,0,13,0,9,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,KNearestNeighborSearchProcess,96,0,6,0,7,0,7,0,4,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.query,RouteSearchProcess,304,0,26,0,30,0,21,0,8,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.tube,GapFill.,32,0,0,0,4,0,5,0,5,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.tube,TubeResult.,27,0,2,0,1,0,7,0,6,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.tube,TubeVisitor.,13,0,0,0,3,0,4,0,4,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.tube,TubeBuilder,453,0,16,0,40,0,30,0,22,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.tube,TubeBuilder.,14,0,0,0,3,0,3,0,3,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.tube,NoGapFill,206,0,13,0,21,0,16,0,9,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.tube,TubeResult,102,0,16,0,1,0,23,0,15,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.tube,TubeSelectProcess,130,0,6,0,13,0,14,0,11,0
GeoMesa Vector Processes,org.locationtech.geomesa.process.tube,LineGapFill,311,0,22,0,17,0,20,0,9,0
