GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,RedisDataStoreFactory.RedisDataStoreConfig.,53,0,2,0,1,0,7,0,6,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,RedisDataStoreFactory.RedisQueryConfig,178,0,29,0,6,0,34,0,18,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,RedisDataStore,201,0,8,0,27,0,25,0,21,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,RedisDataStoreFactory.RedisDataStoreConfig,319,0,61,0,10,0,60,0,26,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,package.,113,0,8,0,5,0,14,0,10,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,package,3,0,0,0,0,0,1,0,1,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,RedisDataStoreFactory,116,0,4,0,14,0,18,0,16,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,RedisDataStoreFactory.RedisQueryConfig.,42,0,2,0,1,0,7,0,6,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,JedisClusterUncloseable,12,0,0,0,4,0,3,0,3,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,package.RedisSystemProperties.,58,0,0,0,7,0,7,0,7,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,SingletonJedisClusterPool,35,0,0,0,13,0,6,0,6,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,package.RedisDataStoreParams.,557,0,0,0,44,0,33,0,33,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,NoopClusterFactory,15,0,0,0,6,0,7,0,7,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data,RedisDataStoreFactory.,646,0,20,0,82,0,40,0,30,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisQueryPlan.EmptyPlan.,37,0,2,0,1,0,9,0,8,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisIndexAdapter,295,0,8,0,21,0,36,0,32,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisQueryPlan.EmptyPlan,174,0,23,0,8,0,36,0,24,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisIndexAdapter.RedisResultsToFeatures,73,0,0,0,10,0,5,0,5,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisAgeOff.,75,0,0,0,5,0,10,0,10,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisAgeOff..anonfun.new Serializable() {...},38,0,6,0,2,0,6,0,3,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisIndexAdapter.RedisIndexWriter,798,0,38,0,69,0,62,0,43,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisQueryPlan.ZLexPlan,675,0,73,0,36,0,100,0,60,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisAgeOff.AgeOffExecutor,83,0,0,0,9,0,11,0,11,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisIndexAdapter..anon.new IndexAdapter.RequiredVisibilityWriter() {...},31,0,0,0,1,0,5,0,5,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisAgeOff,260,0,18,0,20,0,35,0,26,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisAgeOff.AgeOffRunner,841,0,50,0,66,0,60,0,35,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisQueryPlan.ZLexPlan.,52,0,2,0,1,0,7,0,6,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisIndexAdapter.,457,0,20,0,53,0,20,0,10,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisWritableFeature,277,0,20,0,10,0,26,0,16,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisWritableFeature.RedisFeatureWrapper,39,0,2,0,7,0,4,0,3,0
GeoMesa Redis Datastore,org.locationtech.geomesa.redis.data.index,RedisAgeOff.AgeOffWriter,111,0,8,0,14,0,12,0,8,0
