GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Security,org.locationtech.geomesa.security,VisibilityUtils.AuthVisibilityCheck,167,0,6,0,5,0,35,0,32,0
GeoMesa Security,org.locationtech.geomesa.security,AuthUtils,10,0,0,0,0,0,2,0,2,0
GeoMesa Security,org.locationtech.geomesa.security,package,19,0,0,0,0,0,6,0,6,0
GeoMesa Security,org.locationtech.geomesa.security,AuthorizationsProvider,4,0,0,0,1,0,1,0,1,0
GeoMesa Security,org.locationtech.geomesa.security,package.,170,0,0,0,21,0,8,0,8,0
GeoMesa Security,org.locationtech.geomesa.security,package..anon.new GeoMesaParam() {...},65,0,0,0,6,0,2,0,2,0
GeoMesa Security,org.locationtech.geomesa.security,SpringAuditProvider,151,0,6,0,17,0,15,0,12,0
GeoMesa Security,org.locationtech.geomesa.security,VisibilityChecker,25,0,4,0,5,0,4,0,2,0
GeoMesa Security,org.locationtech.geomesa.security,package.SecurityParams,9,0,0,0,3,0,1,0,1,0
GeoMesa Security,org.locationtech.geomesa.security,VisibilityUtils.,14,0,0,0,3,0,3,0,3,0
GeoMesa Security,org.locationtech.geomesa.security,VisibilityUtils,4,0,0,0,0,0,1,0,1,0
GeoMesa Security,org.locationtech.geomesa.security,SpringAuditProvider.,32,0,0,0,6,0,6,0,6,0
GeoMesa Security,org.locationtech.geomesa.security,package.SecureSimpleFeature,37,0,0,0,4,0,7,0,7,0
GeoMesa Security,org.locationtech.geomesa.security,AuthUtils.,243,0,28,0,29,0,24,0,10,0
GeoMesa Security,org.locationtech.geomesa.security,package.SecureSimpleFeature.,65,0,12,0,4,0,13,0,7,0
GeoMesa Security,org.locationtech.geomesa.security,DefaultAuthorizationsProvider,17,0,0,0,4,0,4,0,4,0
GeoMesa Security,org.locationtech.geomesa.security,SecurityUtils,36,0,2,0,10,0,6,0,5,0
GeoMesa Security,org.locationtech.geomesa.security,FilteringAuthorizationsProvider,31,0,0,0,6,0,4,0,4,0
GeoMesa Security,org.locationtech.geomesa.security.filter,IsVisibleFilterFunction.,102,0,0,0,14,0,7,0,7,0
GeoMesa Security,org.locationtech.geomesa.security.filter,GetVisibilitiesFilterFunction,95,0,12,0,14,0,13,0,7,0
GeoMesa Security,org.locationtech.geomesa.security.filter,VisibilityFilterFunction,107,0,10,0,16,0,17,0,12,0
GeoMesa Security,org.locationtech.geomesa.security.filter,GetVisibilitiesFilterFunction.,60,0,0,0,5,0,5,0,5,0
GeoMesa Security,org.locationtech.geomesa.security.filter,VisibilityFilterFunction.,44,0,0,0,8,0,4,0,4,0
GeoMesa Security,org.locationtech.geomesa.security.filter,IsVisibleFilterFunction..anon.new CacheLoader() {...},50,0,0,0,2,0,9,0,9,0
GeoMesa Security,org.locationtech.geomesa.security.filter,IsVisibleFilterFunction..anon.new CacheLoader() {...},38,0,0,0,2,0,7,0,7,0
GeoMesa Security,org.locationtech.geomesa.security.filter,IsVisibleFilterFunction,99,0,8,0,14,0,13,0,9,0
GeoMesa Security,org.locationtech.geomesa.utils.audit,NoOpAuditProvider,10,0,0,0,0,0,3,0,3,0
GeoMesa Security,org.locationtech.geomesa.utils.audit,AuditProvider.Loader,101,0,16,0,28,0,11,0,3,0
GeoMesa Security,org.locationtech.geomesa.utils.audit,NoOpAuditProvider.,21,0,0,0,4,0,5,0,5,0
