GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,GeoHash.,1227,0,67,0,74,0,92,0,58,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,JavaAbstractGeometryUDT.,21,0,0,0,4,0,4,0,4,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,WKTUtils.,32,0,0,0,1,0,8,0,8,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,WKBUtils..anon.new ThreadLocal() {...},7,0,0,0,2,0,2,0,2,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,WKBUtils..anon.new ThreadLocal() {...},8,0,0,0,2,0,2,0,2,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,WKBUtils..anon.new ThreadLocal() {...},8,0,0,0,2,0,2,0,2,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,GeometryUtils.,281,0,30,0,17,0,21,0,6,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,GeoHashUtils.,44,0,4,0,8,0,6,0,4,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,SQLFunctionHelper,74,0,0,0,0,0,10,0,10,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,WKBUtils.,43,0,0,0,1,0,11,0,11,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,Bounds,166,0,19,0,3,0,30,0,20,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,GeoHashUtils,10,0,0,0,0,0,2,0,2,0
GeoMesa Spark JTS,org.locationtech.geomesa.spark.jts.util,GeoHash,35,0,0,0,0,0,9,0,9,0
