GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.SimpleFeatureLayerNonPoint,179,0,23,0,6,0,32,0,20,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.StyleOptions.,49,0,2,0,1,0,13,0,12,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.WMSLayer.,85,0,2,0,8,0,21,0,20,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.SimpleFeatureLayerPoint,224,0,26,0,6,0,36,0,22,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.SimpleFeatureLayerNonPoint.,33,0,2,0,1,0,7,0,6,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L,89,0,0,0,0,0,22,0,22,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.JTSLineStringLayer,79,0,0,0,3,0,4,0,4,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.PointToLayer.,38,0,2,0,1,0,9,0,8,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.SimpleFeatureLayer,146,0,10,0,11,0,11,0,6,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.StyleOptions,186,0,26,0,6,0,31,0,17,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.DataFrameLayerPoint.,44,0,2,0,1,0,9,0,8,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.,384,0,16,0,39,0,33,0,25,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.JTSPolyLayer,79,0,0,0,3,0,4,0,4,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.DataFrameLayerNonPoint,242,0,30,0,8,0,40,0,24,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.Circle,211,0,25,0,3,0,33,0,19,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.StyleOptionFunction.,27,0,2,0,1,0,7,0,6,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.WMSLayer,416,0,61,0,17,0,62,0,28,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.DataFrameLayerNonPoint.,36,0,2,0,1,0,7,0,6,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.SimpleFeatureLayerPoint.,41,0,2,0,1,0,9,0,8,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.Circle.,42,0,2,0,1,0,7,0,6,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.OnFeatureClick.,16,0,0,0,3,0,3,0,3,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.DataFrameLayerPoint,289,0,33,0,8,0,44,0,26,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.PointToLayer,161,0,19,0,5,0,26,0,16,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.StyleOptionFunction,93,0,16,0,2,0,21,0,13,0
GeoMesa Jupyter Leaflet Extensions,org.locationtech.geomesa.jupyter,L.JTSPointLayer,38,0,0,0,2,0,3,0,3,0
