GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeoMesaJoinRelation,761,0,76,0,46,0,90,0,49,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeoMesaRelation.,899,0,44,0,68,0,76,0,54,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeoMesaRelation.IndexedRDD.,27,0,2,0,1,0,7,0,6,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},34,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,SQLRules,24,0,0,0,0,0,6,0,6,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeoMesaJoinRelation.,56,0,2,0,3,0,11,0,10,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,IndexPartitioner,92,0,12,0,15,0,12,0,6,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeoMesaRelation.PartitionedIndexedRDD.,33,0,2,0,1,0,7,0,6,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,DataFrameFunctions.SpatialRelations..typecreator3.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,DataFrameFunctions.SpatialRelations..typecreator3.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeometricDistanceFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator3.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator3.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator3.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator3.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator3.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator3.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator3.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,RelationUtils,57,0,0,0,0,0,11,0,11,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator3.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},34,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeoJSONExtensions.GeoJSONDataFrame,25,0,0,0,2,0,5,0,5,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator3.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator3.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},52,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeoJSONExtensions.,17,0,0,0,4,0,4,0,4,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},34,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator1.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,OverlapAction,176,0,16,0,18,0,11,0,3,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,DataFrameFunctions.SpatialRelations..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,DataFrameFunctions.SpatialRelations..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,GeomesaPysparkFunctions..typecreator2.new TypeCreator() {...},38,0,0,0,1,0,2,0,2,0
GeoMesa Spark SQL,org.locationtech.geomesa.spark.sql,DataFrameFunctions.SpatialRelations..typecreator2.new TypeCreator() {...},14,0,0,0,1,0,2,0,2,0
