GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.ManagePartitionsParams,3,0,0,0,2,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.ListPartitionsCommand,102,0,4,0,8,0,10,0,8,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,DeleteCatalogCommand,90,0,8,0,6,0,8,0,4,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.NamePartitionsCommand,90,0,4,0,8,0,6,0,4,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.NamePartitionsParam,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.AdoptPartitionParam,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,RemoveSchemaCommand,378,0,48,0,21,0,37,0,13,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.AdoptPartitionCommand..anonfun.new Serializable() {...},28,0,4,0,1,0,5,0,3,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,DeleteFeaturesCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,DeleteCatalogParams,21,0,0,0,1,0,5,0,5,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,UpdateSchemaCommand.UpdateSchemaParams,72,0,4,0,12,0,6,0,4,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,CreateSchemaCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.AddPartitionsCommand,75,0,2,0,7,0,8,0,7,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.ModifyPartitionsCommand,44,0,2,0,3,0,5,0,4,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.PartitionsCommand,100,0,8,0,9,0,8,0,4,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,CreateSchemaCommand,194,0,18,0,14,0,17,0,8,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,DeleteFeaturesCommand,150,0,10,0,12,0,11,0,6,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,UpdateSchemaCommand.,8,0,0,0,2,0,2,0,2,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,UpdateSchemaCommand,811,0,58,0,67,0,48,0,19,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.AdoptPartitionCommand,408,0,24,0,33,0,25,0,13,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand,38,0,0,0,4,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.PartitionsParam,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,CreateSchemaCommand.SchemaOptionsCommand,2,0,0,0,2,0,2,0,2,0
GeoMesa Tools,org.locationtech.geomesa.tools.data,ManagePartitionsCommand.DeletePartitionsCommand,131,0,10,0,9,0,13,0,8,0
GeoMesa Tools,org.locationtech.geomesa.tools,Runner.DefaultCommand,55,0,4,0,4,0,9,0,7,0
GeoMesa Tools,org.locationtech.geomesa.tools,OptionalInputFormatParam,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,RequiredCqlFilterParam,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,IndexParam.,229,0,18,0,17,0,28,0,19,0
GeoMesa Tools,org.locationtech.geomesa.tools,DistributedRunParam.RunModes.,22,0,0,0,2,0,4,0,4,0
GeoMesa Tools,org.locationtech.geomesa.tools,TempPathParam,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,RequiredTypeNameParam,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,RequiredIndexParam,9,0,0,0,2,0,2,0,2,0
GeoMesa Tools,org.locationtech.geomesa.tools,CredentialsParams,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,package.,8,0,0,0,2,0,2,0,2,0
GeoMesa Tools,org.locationtech.geomesa.tools,RequiredFeatureSpecParam,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,QueryHintsParams,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,IndicesParam,24,0,0,0,2,0,3,0,3,0
GeoMesa Tools,org.locationtech.geomesa.tools,IndexParam,7,0,0,0,0,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,InputFilesParam,6,0,0,0,2,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,Runner,978,0,64,0,86,0,73,0,41,0
GeoMesa Tools,org.locationtech.geomesa.tools,PasswordParams,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,package.InteractiveCommand,16,0,2,0,5,0,4,0,3,0
GeoMesa Tools,org.locationtech.geomesa.tools,KerberosParams,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,package.Command,9,0,0,0,4,0,4,0,4,0
GeoMesa Tools,org.locationtech.geomesa.tools,DistributedCombineParam,4,0,0,0,2,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,Runner.CommandResult.,40,0,2,0,1,0,9,0,8,0
GeoMesa Tools,org.locationtech.geomesa.tools,OptionalDtgParam,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,package.Command.,24,0,0,0,4,0,4,0,4,0
GeoMesa Tools,org.locationtech.geomesa.tools,OptionalZookeepersParam,1,0,0,0,1,0,1,0,1,0
GeoMesa Tools,org.locationtech.geomesa.tools,OptionalIndexParam,27,0,0,0,2,0,5,0,5,0
