GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,HadoopDelegate.HadoopFileHandle,134,0,10,0,13,0,16,0,11,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,HadoopDelegate.HadoopTarHandle,44,0,0,0,5,0,3,0,3,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,HadoopDelegate.HadoopZipHandle,53,0,0,0,5,0,4,0,4,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,HadoopDelegate.,108,0,10,0,9,0,14,0,9,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,HadoopUtils.TicketLogin,151,0,12,0,10,0,14,0,8,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,DistributedCopyOptions,10,0,0,0,0,0,2,0,2,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,HadoopUtils.,201,0,20,0,19,0,21,0,11,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,HadoopDelegate..anon.new Iterator() {...},391,0,0,0,4,0,94,0,94,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,DistributedCopyOptions.,242,0,8,0,16,0,10,0,6,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,HadoopDelegate..anon.new PathFilter() {...},18,0,4,0,3,0,4,0,2,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,HadoopDelegate,327,0,34,0,36,0,29,0,12,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,HadoopUtils,8,0,0,0,0,0,2,0,2,0
GeoMesa Hadoop Utils,org.locationtech.geomesa.utils.hadoop,HadoopUtils.KrbRegistration,22,0,2,0,3,0,4,0,3,0
