GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoMesa Index Z3,org.locationtech.geomesa.curve,BinnedTime,174,0,15,0,1,0,38,0,30,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,Z3SFC,505,0,38,0,21,0,44,0,25,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.SemiNormalizedTime,117,0,15,0,2,0,22,0,14,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.NormalizedLat.,28,0,2,0,1,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,LegacyZ2SFC.,98,0,0,0,6,0,5,0,5,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZSFC,6,0,0,0,0,0,2,0,2,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.SemiNormalizedLat,94,0,12,0,1,0,18,0,12,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ3SFC.QueryWindow,221,0,27,0,1,0,38,0,22,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,LegacyZ2SFC,49,0,0,0,0,0,11,0,11,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.SemiNormalizedLon.,28,0,2,0,1,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,LegacyZ3SFC.,123,0,24,0,11,0,19,0,7,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,Z3SFC.,164,0,24,0,13,0,24,0,12,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,LegacyYearXZ3SFC,77,0,4,0,7,0,6,0,4,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ2SFC.,78,0,2,0,10,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,TimePeriod,35,0,0,0,0,0,11,0,11,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,Z3SFC.StandardZ3Dimensions,167,0,23,0,5,0,30,0,18,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.NormalizedTime,115,0,15,0,1,0,22,0,14,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.,8,0,0,0,2,0,2,0,2,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,LegacyYearZ3SFC.LegacyYearZ3Dimensions.,32,0,2,0,1,0,9,0,8,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,LegacyZ3SFC.LegacyZ3Dimensions,139,0,16,0,5,0,23,0,15,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ2SFC.XElement.,47,0,2,0,1,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.SemiNormalizedLat.,28,0,2,0,1,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,Z2SFC.,9,0,0,0,1,0,2,0,2,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ3SFC.XElement.,55,0,2,0,1,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,SpaceFillingCurve,87,0,0,0,7,0,8,0,8,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.SemiNormalizedDimension,67,0,2,0,4,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,LegacyZ3SFC,109,0,0,0,6,0,4,0,4,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ3SFC,1820,0,176,0,132,0,127,0,39,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.BitNormalizedDimension,117,0,8,0,8,0,14,0,10,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,BinnedTime.,1316,0,202,0,93,0,181,0,80,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,S2SFC.,40,0,0,0,7,0,7,0,7,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,LegacyYearZ3SFC.,10,0,0,0,3,0,3,0,3,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ3SFC.QueryWindow.,51,0,2,0,1,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.NormalizedLon.,28,0,2,0,1,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ3SFC.,98,0,2,0,10,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.NormalizedLon,92,0,12,0,1,0,18,0,12,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ3SFC.XElement,745,0,66,0,27,0,69,0,33,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.SemiNormalizedLon,94,0,12,0,1,0,18,0,12,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,Z3SFC.StandardZ3Dimensions.,38,0,2,0,1,0,9,0,8,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ2SFC.XElement,459,0,48,0,13,0,53,0,27,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ2SFC.QueryWindow.,43,0,2,0,1,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,LegacyYearZ3SFC.LegacyYearZ3Dimensions,131,0,12,0,5,0,22,0,16,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,NormalizedDimension.NormalizedTime.,33,0,2,0,1,0,7,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,TimePeriod.,40,0,0,0,5,0,6,0,6,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ2SFC,1311,0,118,0,116,0,92,0,33,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,Z2SFC,312,0,24,0,16,0,27,0,15,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,XZ2SFC.QueryWindow,169,0,21,0,1,0,30,0,18,0
GeoMesa Index Z3,org.locationtech.geomesa.curve,SpaceFillingCurve.,14,0,0,0,3,0,3,0,3,0
